"State","District"
"Andhra Pradesh","Srikakulam"
"Andhra Pradesh","Visakhapatnam"
"Andhra Pradesh","East Godavari"
"Andhra Pradesh","West Godavari"
"Andhra Pradesh","West Godavar"
"Andhra Pradesh","Krishna"
"Andhra Pradesh","Guntur"
"Andhra Pradesh","Nellore"
"Andhra Pradesh","S.P.S. Nellore"
"Andhra Pradesh","Kurnool"
"Andhra Pradesh","Anantapur"
"Andhra Pradesh","Cuddapah"
"Andhra Pradesh","Kadapa"
"Andhra Pradesh","Y.S.R. Kadapa"
"Andhra Pradesh","Chittoor"
"Andhra Pradesh","Hyderabad"
"Andhra Pradesh","Nizamabad"
"Andhra Pradesh","Medak"
"Andhra Pradesh","Mahabubnagar"
"Andhra Pradesh","Nalgonda"
"Andhra Pradesh","Warangal"
"Andhra Pradesh","Khammam"
"Andhra Pradesh","Karimnagar"
"Andhra Pradesh","Adilabad"
"Assam","Cachar"
"Assam","Darrang"
"Assam","Garo Hills"
"Assam","Dibrugarh"
"Assam","Goalpara"
"Assam","Kamrup"
"Assam","United K & J Hill"
"Assam","Mikir Hills"
"Assam","Karbi Anglong"
"Assam","Karbi-Anglong"
"Assam","Lakhimpur"
"Assam","North Cachar Hills"
"Assam","United Mikir North Cachar Hills"
"Assam","N.C.Hills"
"Assam","N C Hills"
"Assam","Nowgong"
"Assam","Nagaon"
"Assam","Sibsagar"
"Bihar","Champaran"
"Bihar","Muzaffarpur"
"Bihar","Darbhanga"
"Bihar","Saharsa"
"Bihar","Purnea"
"Bihar","Saran"
"Bihar","Patna"
"Bihar","Monghyr"
"Bihar","Mungair"
"Bihar","Munger"
"Bihar","Bhagalpur"
"Bihar","Santhal Paragana"
"Bihar","Dumka"
"Bihar","Shahabad"
"Bihar","Gaya"
"Bihar","Hazaribagh"
"Bihar","Hazaribag"
"Bihar","Dhanbad"
"Bihar","Palamau"
"Bihar","Palamu"
"Bihar","Ranchi"
"Bihar","Singhbhum"
"Chhattisgarh","Durg"
"Chhattisgarh","Bastar"
"Chhattisgarh","Raipur"
"Chhattisgarh","Bilaspur"
"Chhattisgarh","Raigarh"
"Chhattisgarh","Raigadh"
"Chhattisgarh","Surguja"
"Chhattisgarh","Sarguja"
"Gujarat","Ahmedabad"
"Gujarat","Ahmadabad"
"Gujarat","Amreli"
"Gujarat","Banaskantha"
"Gujarat","Broach"
"Gujarat","Bharuch"
"Gujarat","Baroda"
"Gujarat","Vadodara"
"Gujarat","Vadora"
"Gujarat","Bhavnagar"
"Gujarat","Bulsar"
"Gujarat","Valsad"
"Gujarat","Dangs"
"Gujarat","Dangs."
"Gujarat","Jamnagar"
"Gujarat","Junagadh"
"Gujarat","Kaira"
"Gujarat","Kheda"
"Gujarat","Kutch"
"Gujarat","Kachchh"
"Gujarat","Mehsana"
"Gujarat","Mahsana"
"Gujarat","Mahesana"
"Gujarat","Panch Mahals"
"Gujarat","Rajkot"
"Gujarat","Sabarkantha"
"Gujarat","Surat"
"Gujarat","Surendranagar"
"Haryana","Hissar"
"Haryana","Gurgaon"
"Haryana","Jind"
"Haryana","Mahendragarh"
"Haryana","Mahendragarh / Narnaul"
"Haryana","Ambala"
"Haryana","Karnal"
"Haryana","Rohtak"
"Himachal Pradesh","Bilaspur"
"Himachal Pradesh","Bilashpur"
"Himachal Pradesh","Chamba"
"Himachal Pradesh","Kangra"
"Himachal Pradesh","Kinnaur"
"Himachal Pradesh","Kullu"
"Himachal Pradesh","Kulu"
"Himachal Pradesh","Lahaul & Spiti"
"Himachal Pradesh","Mahasu"
"Himachal Pradesh","Mahasu / Solan"
"Himachal Pradesh","Solan"
"Himachal Pradesh","Mandi"
"Himachal Pradesh","Shimla"
"Himachal Pradesh","Simla"
"Himachal Pradesh","Sirmaur"
"Jharkhand","Dumka"
"Jharkhand","Santhal Paragana / Dumka"
"Jharkhand","Hazaribagh"
"Jharkhand","Dhanbad"
"Jharkhand","Palamau"
"Jharkhand","Ranchi"
"Jharkhand","Singhbhum"
NA,NA
"Karnataka","Bangalore"
"Karnataka","Kolar"
"Karnataka","Kolar + Chikkabalapura"
"Karnataka","Tumkur"
"Karnataka","Mysore"
"Karnataka","Mysore & Chamaraja"
"Karnataka","Mandya"
"Karnataka","Hassan"
"Karnataka","Shimoga"
"Karnataka","Chickmagalur"
"Karnataka","Chitradurga"
"Karnataka","Chitradurga & Davangore"
"Karnataka","Bellary"
"Karnataka","Dharwad"
"Karnataka","Dharwad & Gadag &"
"Karnataka","Belgaum"
"Karnataka","Bijapur"
"Karnataka","Bijapur & Bagalkot"
"Karnataka","Bidar"
"Karnataka","Raichur"
"Karnataka","Raichur & Koppala"
"Karnataka","Gulbarga"
"Karnataka","Dakshina Kannara"
"Karnataka","Dakshina Kannada"
"Karnataka","Dakshina Kannara &"
"Karnataka","Dakshina Kannad"
"Karnataka","Uttara Kannara"
"Karnataka","Uttara Kannada"
"Karnataka","Uttara Kannara / Norrth Kannara"
"Karnataka","Coorg (Kodugu)"
"Karnataka","Coorg / Kodugu"
"Karnataka","Kodugu (Coorg)"
"Karnataka","Kodagu (Coorg)"
"Karnataka","Kodagu"
"Kerala","Alappuzha"
"Kerala","Alappuzha / Allepey"
"Kerala","Kannur"
"Kerala","Cannanore"
"Kerala","Ernakulam"
"Kerala","Kottayam"
"Kerala","Kozhikode"
"Kerala","Malapuram"
"Kerala","Malappuram"
"Kerala","Palakkad"
"Kerala","Palghat"
"Kerala","Kollam"
"Kerala","Kollam / Quilon"
"Kerala","Thrisur"
"Kerala","Trichur"
"Kerala","Thrissur"
"Kerala","Thiruvananthapuram"
"Madhya Pradesh","Durg"
"Madhya Pradesh","Narsinghpur"
"Madhya Pradesh","Narsimhapur"
"Madhya Pradesh","Narsimpur"
"Madhya Pradesh","Seoni"
"Madhya Pradesh","Mandla"
"Madhya Pradesh","Sagar"
"Madhya Pradesh","Damoh"
"Madhya Pradesh","Tikamgarh"
"Madhya Pradesh","Chhatarpur"
"Madhya Pradesh","Panna"
"Madhya Pradesh","Rewa"
"Madhya Pradesh","Sidhi"
"Madhya Pradesh","Bastar"
"Madhya Pradesh","Satna"
"Madhya Pradesh","Shahdol"
"Madhya Pradesh","Gwalior"
"Madhya Pradesh","Shivpuri"
"Madhya Pradesh","Guna"
"Madhya Pradesh","Datia"
"Madhya Pradesh","Morena"
"Madhya Pradesh","Bhind"
"Madhya Pradesh","Indore"
"Madhya Pradesh","Ratlam"
"Madhya Pradesh","Raipur"
"Madhya Pradesh","Ujjain"
"Madhya Pradesh","Mandsaur"
"Madhya Pradesh","Dewas"
"Madhya Pradesh","Dhar"
"Madhya Pradesh","Jhabua"
"Madhya Pradesh","Khargone"
"Madhya Pradesh","West Nimar"
"Madhya Pradesh","Westnimar (Khargone)"
"Madhya Pradesh","Khandwa"
"Madhya Pradesh","East Nimar"
"Madhya Pradesh","Sehore"
"Madhya Pradesh","Raisen"
"Madhya Pradesh","Vidisha"
"Madhya Pradesh","Bilaspur"
"Madhya Pradesh","Bilaspur (MP)"
"Madhya Pradesh","Betul"
"Madhya Pradesh","Rajgarh"
"Madhya Pradesh","Shajapur"
"Madhya Pradesh","Hoshangabad"
"Madhya Pradesh","Raigarh"
"Madhya Pradesh","Surguja"
"Madhya Pradesh","Sarguja"
"Madhya Pradesh","Jabalpur"
