"State","District"
"Andhra Pradesh","ADILABAD"
"Andhra Pradesh","ANANTHAPUR"
"Andhra Pradesh","CHITTOOR"
"Andhra Pradesh","CUDDAPAH"
"Andhra Pradesh","EAST GODAVARI"
"Andhra Pradesh","GUNTUR"
"Andhra Pradesh","HYDERABAD"
"Andhra Pradesh","KARIMNAGAR"
"Andhra Pradesh","KHAMMAM"
"Andhra Pradesh","KRISHNA"
"Andhra Pradesh","KURNOOL"
"Andhra Pradesh","MAHABOOB NAGAR"
"Andhra Pradesh","MEDAK"
"Andhra Pradesh","NALGONDA"
"Andhra Pradesh","NELLORE"
"Andhra Pradesh","NIZAMABAD"
"Andhra Pradesh","PRAKASAM"
"Andhra Pradesh","RANGA REDDY"
"Andhra Pradesh","SRIKAKULUM"
"Andhra Pradesh","VIJAYA NAGARAM"
"Andhra Pradesh","VISAKHAPATNAM"
"Andhra Pradesh","WARANGAL"
"Andhra Pradesh","WEST GODAVARI"
"Andhra Pradesh","MAHABOOBNAGAR"
"Andhra Pradesh","RANGAREDDY"
"Andhra Pradesh","SRIKAKULAM"
"Andhra Pradesh","VIZIANAGARAM"
"Andhra Pradesh","Adilabad"
"Andhra Pradesh","Anantapur"
"Andhra Pradesh","Chittoor"
"Andhra Pradesh","Cuddapah"
"Andhra Pradesh","East Godavari"
"Andhra Pradesh","Guntur"
"Andhra Pradesh","Hyderabad"
"Andhra Pradesh","Karimnagar"
"Andhra Pradesh","Khamman"
"Andhra Pradesh","Krishna"
"Andhra Pradesh","Kurnool"
"Andhra Pradesh","Mahabubnagar"
"Andhra Pradesh","Medak"
"Andhra Pradesh","Nalgonda"
"Andhra Pradesh","Nellore"
"Andhra Pradesh","Nizamabad"
"Andhra Pradesh","Prakasam"
"Andhra Pradesh","Ranga Reddy"
"Andhra Pradesh","Srikakulam"
"Andhra Pradesh","Visakhapatanam"
"Andhra Pradesh","Vizianagaram"
"Andhra Pradesh","Warangal"
"Andhra Pradesh","West Godavari"
"Andhra Pradesh","TOTAL"
"Andhra Pradesh","check"
"Arunachal Pradesh","CHANGLANG"
"Arunachal Pradesh","DIBANG VALLEY"
"Arunachal Pradesh","EAST KAMENG"
"Arunachal Pradesh","EAST SIANG"
"Arunachal Pradesh","LOHIT"
"Arunachal Pradesh","LOWER SUBANSIRI"
"Arunachal Pradesh","PAPUM PARE"
"Arunachal Pradesh","TAWANG"
"Arunachal Pradesh","TIRAP"
"Arunachal Pradesh","UPPER SIANG"
"Arunachal Pradesh","UPPER SUBANSIRI"
"Arunachal Pradesh","WEST KAMENG"
"Arunachal Pradesh","WEST SIANG"
"Arunachal Pradesh","PAPUMPARE"
"Assam","BARPETA"
"Assam","BONGAIGAON"
"Assam","CACHAR"
"Assam","DARRANG"
"Assam","DHEMAJI"
"Assam","DHUBRI"
"Assam","DIBRUGARH"
"Assam","GOALPARA"
"Assam","GOLAGHAT"
"Assam","HAILAKANDI"
"Assam","JORHAT"
"Assam","KAMRUP"
"Assam","KARBI ANGLONG"
"Assam","KARIMGANJ"
"Assam","KOKRAJHAR"
"Assam","LAKHIMPUR"
"Assam","MARIGAON"
"Assam","NAGAON"
"Assam","NALBARI"
"Assam","NORTH CACHAR HILLS"
"Assam","SIBSAGAR"
"Assam","SONITPUR"
"Assam","TINSUKIA"
"Assam","MORIGAON"
"Assam","NAGOAN"
"Assam","BAKSA"
"Assam","CHIRANG"
"Assam","KAMRUP ( RURAL )"
"Assam","KAMRUP METRO"
"Assam","UDALGURI"
"Assam","KARBIANGLONG"
"Assam","NC HILLS"
"Assam","Barpetta"
"Assam","Cachar"
"Assam","Debrugarh"
"Assam","Dhubri"
"Assam","Goalpara"
"Assam","Golaghat"
"Assam","Kamrup"
"Assam","Karbi Anglong"
"Assam","Karimganj"
"Assam","Kokrajhar"
"Assam","Lakhimpur"
"Assam","N.C. Hills"
"Assam","Nagaon"
"Assam","Nalbari"
"Assam","Sibasagar"
"Assam","Sonitpur"
"Assam","TOTAL"
"Assam","check"
"Assam","Sonipur"
"Bihar","ARARIA"
"Bihar","AURANGABAD"
"Bihar","BANKA"
"Bihar","BEGUSARAI"
"Bihar","BHABUA"
"Bihar","BHAGALPUR"
"Bihar","BHOJPUR"
"Bihar","BOKARO"
"Bihar","BUXAR"
"Bihar","CHAMPARAN EAST"
"Bihar","CHAMPARAN WEST"
"Bihar","CHATRA"
"Bihar","DARBHANGA"
"Bihar","DEOGHAR"
"Bihar","DHANBAD"
"Bihar","DUMKA"
"Bihar","GARHWA"
"Bihar","GAYA"
"Bihar","GIRIDIH"
"Bihar","GODDA"
"Bihar","GOPALGANJ"
"Bihar","GUMLA"
"Bihar","HAZARIBAG"
"Bihar","JAMUI"
"Bihar","JEHANABAD"
"Bihar","KATIHAR"
"Bihar","KHAGARIA"
"Bihar","KISHANGANJ"
"Bihar","KODARMA"
"Bihar","LAKHISARAI"
"Bihar","LOHARDAGA"
"Bihar","MADHEPURA"
"Bihar","MADHUBANI"
"Bihar","MUNGER"
"Bihar","MUZAFFARPUR"
"Bihar","NALANDA"
"Bihar","NAWADA"
"Bihar","PAKUR"
"Bihar","PALAMU"
"Bihar","PATNA"
"Bihar","PURNIA"
"Bihar","RANCHI"
"Bihar","ROHTAS"
"Bihar","SAHARSA"
"Bihar","SAHEBGANJ"
"Bihar","SAMASTIPUR"
"Bihar","SARAN"
"Bihar","SHEIKHPURA"
"Bihar","SHEOHAR"
"Bihar","SINGHBHUM EAST"
"Bihar","SINGHBHUM WEST"
"Bihar","SITAMARHI"
"Bihar","SIWAN"
"Bihar","SUPAUL"
"Bihar","VAISHALI"
"Bihar","EAST CHAMPARAN"
"Bihar","GOPAALGANJ"
"Bihar","KAIMUR (BHABUA)"
"Bihar","ROHTAS(SASARAM)"
"Bihar","SHEKHPURA"
"Bihar","WEST CHAMPARAN"
"Bihar","Bhojpur"
"Bihar","Araria"
"Bihar","Aurangabad"
"Bihar","Begusarai"
"Bihar","Bhagalpur"
"Bihar","Darbhanga"
"Bihar","Deoghar"
"Bihar","Dhanbad"
"Bihar","Dumka"
"Bihar","East Champaran"
"Bihar","East Singhbhum"
"Bihar","Gaya"
"Bihar","Giridih"
"Bihar","Gonda"
"Bihar","Gopalganj"
"Bihar","Gumla"
"Bihar","Hazaribagh"
"Bihar","Jahanabad"
"Bihar","Katihar"
"Bihar","Khagaria"
"Bihar","Kishanganj"
"Bihar","Lohardaga"
"Bihar","Madhepura"
"Bihar","Madhubani"
"Bihar","Munger"
"Bihar","Muzaffarpur"
"Bihar","Nalanda"
"Bihar","Nawadah"
"Bihar","Palmau"
"Bihar","Patna"
"Bihar","Purnea"
"Bihar","Ranchi"
"Bihar","Rohtas"
