State,District,ID,Year,Area,Reporting Area For Land Utilisation Statistics,Forests,Area Under Non Agricultural Uses,Barren and Un Culturable Land ,Total,Permanent Pastures and Other Grazing Lands,Land Under Misc Tree Crops and Groves not Included in Net Area,Culturable Waste Land ,Total,Fallow Lands Other than Current Fallows,Current Fallow,Total,Net Area Sown,Total Cropped Area,Area Sown More than Once, Canal-Government-NIA,Canal-Private-NIA,Canal-Total-NIA,Tanks-NIA,Tube Wells-NIA,Other Wells-NIA,Other Sources-NIA,Total-NIA, Canal-Government-GIA,Canal-Private-GIA,Canal-Total-GIA,Tanks-GIA,Tube Wells-GIA,Other Wells-GIA,Other Sources-GIA,Total-GIA,Rice (Oryza Sativa)-Autumn,Rice (Oryza Sativa)-Winter,Rice (Oryza Sativa)-Summer,Rice (Oryza Sativa)-Total,Cholum or Jowar (Sorghum Vulgare)-Kharif,Cholum or Jowar (Sorghum Vulgare)-Rabi,Cholum or Jowar (Sorghum Vulgare)-Total,Cumbu or Bajra (Pennisetumtyphoideum),Maize (Zea Mays,Ragi or Marua (Elusine Coracana),Wheat (Triticumsativum),Barley (Hordeumvulgare),Other Cereals and Millets-Kharif,Other Cereals and Millets-Rabi,Other Cereals and Millets-Total,Total Cereals and Millets,Gram (Cicerarietinum),Tur or Arhar (Cajanusindicus),Other Pulses (Excluding Gram and Tur or Arhar)-Kharif,Other Pulses (Excluding Gram and Tur or Arhar)-Rabi,Other Pulses (Excluding Gram and Tur or Arhar)-Total,Total Pulses,Total Food Grains,Sugarcane (Saccharumofficinarum),Condiments and Spices,Fruits and Vegetables Including root crops,Other Food Crops,Total Food Crops,Groundnut (Arachishypozes),Sesamum (Til or Jinjili) (Sesamum indicum),Rape & Mustard (Brassicasp),Linseed (Linumusitatissimum),Others,Total,Cotton (Gossyptumsp),Tobacco (Nicotianatobacum & N. Rustica),Fodder Crops,Other Non-food Crops,Total Non-food Crops,Total (Under all Crops)
Assam,17590,,1970-71,,,,,,,,,14631,,26944,41033,,2601893,,,,,185328,841,395,78,19417,,,,,,,,,,239093,,,,NA,,,NA,206,NA,256,NA,,,,,24,94,,,,,,192,,979,,,NA,,3279,,,,26,NA,,,,
Assam,17590,,1975-76,,,,,,,,,16000,,12000,21000,,2541000,,,,,154000,0,2000,0,7000,,,,,,,,,,187000,,,,NA,,,NA,1000,NA,0,NA,,,,,NA,0,,,,,,0,,1000,,,NA,,1000,,,,NA,NA,,,,
Assam,17590,,1980-81,,,,,,,,,44000,,33000,40000,,2712000,,,,,154000,0,2000,0,20000,,,,,,,,,,209000,,,,NA,,,NA,NA,NA,NA,NA,,,,,NA,NA,,,,,,NA,,1000,,,NA,,1000,,,,NA,NA,,,,
Assam,17590,,1985-86,,,,,,,,,44000,,34000,37000,,2753000,,,,,134000,0,2000,0,19000,,,,,,,,,,194000,,,,NA,,,NA,1000,NA,0,NA,,,,,NA,NA,,,,,,NA,,NA,,,NA,,1000,,,,NA,NA,,,,
Assam,17590,,1990-91,,,,,,,,,43000,,34000,37000,,2800000,,,,,152000,0,2000,0,20000,,,,,,,,,,194000,,,,NA,,,NA,1000,NA,0,NA,,,,,NA,NA,,,,,,NA,,NA,,,NA,,1000,,,,NA,NA,,,,
Assam,17590,,1995-96,,,,,,,,,NA,,NA,NA,,NA,,,,,NA,NA,NA,NA,NA,,,,,,,,,,NA,,,,NA,,,NA,NA,NA,NA,NA,,,,,NA,NA,,,,,,NA,,NA,,,NA,,NA,,,,NA,NA,,,,
Assam,17590,,2000-01,,,,,,,,,NA,,NA,NA,,NA,,,,,33300,3400,9000,2100,92400,,,,,,,,,,111300,,,,100,,,0,300,0,1600,NA,,,,,100,0,,,,,,1900,,4900,,,0,,1000,,,,0,0,,,,
Assam,17590,,2005-06,,,,,,,,,800,,2200,43,,2947200,,,,,23100,3100,16700,300,102400,,,,,,,,,,115900,,,,0,,,0,0,0,1200,NA,,,,,0,0,,,,,,0,,1800,,,0,,1000,,,,0,0,,,,
Jammu and Kashmir,72845,,1970-71,,,,,,,,,33540,,2891,99267,,687501,,,,,266589,1256,1779,826,2989,,,,,,,,,,204745,,,,8,,,308,81626,,34213,1989,,,,,NA,NA,,,,,,722,,14005,,,NA,,NA,,,,NA,NA,,,,
Jammu and Kashmir,72845,,1975-76,,,,,,,,,68000,,22000,92000,,696000,,,,,306000,1000,1000,4000,21000,,,,,,,,,,237000,,,,NA,,,NA,27000,NA,56000,NA,,,,,NA,NA,,,,,,NA,,17000,,,NA,,NA,,,,NA,NA,,,,
Jammu and Kashmir,72845,,1980-81,,,,,,,,,59000,,6000,86000,,715000,,,,,277000,1000,3000,0,25000,,,,,,,,,,242000,,,,NA,,,NA,16000,NA,53000,1000,,,,,NA,NA,,,,,,NA,,19000,,,NA,,NA,,,,NA,NA,,,,
Jammu and Kashmir,72845,,1985-86,,,,,,,,,66000,,6000,70000,,723000,,,,,201000,2000,2000,1000,108000,,,,,,,,,,244000,,,,NA,,,0,32000,NA,74000,NA,,,,,NA,NA,,,,,,NA,,NA,,,NA,,NA,,,,NA,NA,,,,
Jammu and Kashmir,72845,,1990-91,,,,,,,,,64000,,6000,69000,,719000,,,,,217000,2000,2000,1000,104000,,,,,,,,,,234000,,,,NA,,,NA,32000,NA,77000,NA,,,,,NA,NA,,,,,,NA,,NA,,,NA,,NA,,,,NA,NA,,,,
Jammu and Kashmir,72845,,1995-96,,,,,,,,,NA,,NA,NA,,NA,,,,,NA,NA,NA,NA,NA,,,,,,,,,,NA,,,,NA,,,NA,NA,NA,NA,NA,,,,,NA,NA,,,,,,NA,,NA,,,NA,,NA,,,,NA,NA,,,,
Jammu and Kashmir,72845,,2000-01,,,,,,,,,NA,,NA,NA,,NA,,,,,216100,500,1300,1000,136300,,,,,,,,,,271600,,,,100,,,900,38100,10200,83000,NA,,,,,0,0,,,,,,0,,23800,,,0,,10800,,,,NA,0,,,,
Jammu and Kashmir,72845,,2005-06,,,,,,,,,1300,,26400,24700,,760600,,,,,233500,1000,0,5700,102900,,,,,,,,,,252700,,,,200,,,700,28400,0,92500,NA,,,,,0,0,,,,,,0,,30300,,,0,,15000,,,,0,0,,,,
Kerala,,,1970-71,,,,,,,,,51981,,12201,23228,,1378433,,,,,82770,29654,2451,28095,40741,,,,,,,,,,210648,,,,NA,,,NA,NA,NA,NA,NA,,,,,NA,NA,,,,,,1955,,NA,,,NA,,NA,,,,NA,NA,,,,
Kerala,,,1975-76,,,,,,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,,,,,,,,,,NA,,,,NA,,,NA,NA,NA,NA,NA,,,,,NA,NA,,,,,,NA,,NA,,,NA,,NA,,,,NA,NA,,,,
Kerala,,,1980-81,,,,,,,,,27000,,9000,30000,,1592000,,,,,119000,31000,1000,76000,50000,,,,,,,,,,265000,,,,NA,,,NA,NA,NA,NA,NA,,,,,NA,NA,,,,,,NA,,22000,,,NA,,NA,,,,NA,NA,,,,
