State,Year,Veg_Irrig,Veg_Rainfed,Fruit_Irrig,Fruit_Rainfed
Andhra Pradesh,1970-71,22393,50935,25834,92101
Andhra Pradesh,1975-76,11000,15000,42000,158000
Andhra Pradesh,1980-81,NA,NA,NA,NA
Andhra Pradesh,1985-86,NA,NA,NA,NA
Andhra Pradesh,1990-91,NA,NA,NA,NA
Andhra Pradesh,1995-96,40000,69000,176000,370000
Andhra Pradesh,2000-01,63200,99500,161600,407400
Andhra Pradesh,2005-06,76900,66100,213900,451600
Arunachal Pradesh,1970-71,NA,NA,NA,NA
Arunachal Pradesh,1975-76,NA,NA,NA,NA
Arunachal Pradesh,1980-81,NA,NA,NA,NA
Arunachal Pradesh,1985-86,NA,NA,NA,NA
Arunachal Pradesh,1990-91,NA,NA,NA,NA
Arunachal Pradesh,1995-96,0,10000,0,3000
Arunachal Pradesh,2000-01,300,14000,0,900
Arunachal Pradesh,2005-06,0,14000,0,6000
Assam,1970-71,272,26345,707,57733
Assam,1975-76,0,44000,1000,70000
Assam,1980-81,NA,NA,NA,NA
Assam,1985-86,NA,NA,NA,NA
Assam,1990-91,NA,NA,NA,NA
Assam,1995-96,0,46000,0,32000
Assam,2000-01,4100,69400,800,36700
Assam,2005-06,1700,84300,100,40200
Bihar,1970-71,65002,54176,5525,116969
Bihar,1975-76,91000,24000,NA,NA
Bihar,1980-81,NA,NA,NA,NA
Bihar,1985-86,NA,NA,NA,NA
Bihar,1990-91,NA,NA,NA,NA
Bihar,1995-96,213000,94000,9000,150000
Bihar,2000-01,NA,NA,NA,NA
Bihar,2005-06,NA,NA,NA,NA
Chandigarh,1970-71,NA,NA,NA,NA
Chandigarh,1975-76,NA,NA,NA,NA
Chandigarh,1980-81,NA,NA,NA,NA
Chandigarh,1985-86,NA,NA,NA,NA
Chandigarh,1990-91,NA,NA,NA,NA
Chandigarh,1995-96,0,0,0,0
Chandigarh,2000-01,100,0,100,0
Chandigarh,2005-06,100,0,0,0
Chhattisgarh,1970-71,NA,NA,NA,NA
Chhattisgarh,1975-76,NA,NA,NA,NA
Chhattisgarh,1980-81,NA,NA,NA,NA
Chhattisgarh,1985-86,NA,NA,NA,NA
Chhattisgarh,1990-91,NA,NA,NA,NA
Chhattisgarh,1995-96,NA,NA,NA,NA
Chhattisgarh,2000-01,3300,11700,200,1400
Chhattisgarh,2005-06,9500,19800,700,1900
Delhi,1970-71,NA,NA,NA,NA
Delhi,1975-76,NA,NA,NA,NA
Delhi,1980-81,NA,NA,NA,NA
Delhi,1985-86,NA,NA,NA,NA
Delhi,1990-91,NA,NA,NA,NA
Delhi,1995-96,NA,NA,NA,NA
Delhi,2000-01,4900,200,0,0
Delhi,2005-06,3100,200,0,0
Gujarat,1970-71,21589,6657,25187,18198
Gujarat,1975-76,32000,17000,32000,17000
Gujarat,1980-81,NA,NA,NA,NA
Gujarat,1985-86,NA,NA,NA,NA
Gujarat,1990-91,NA,NA,NA,NA
Gujarat,1995-96,59000,13000,62000,26000
Gujarat,2000-01,58400,205600,79800,31500
Gujarat,2005-06,81000,114700,81700,27300
Haryana,1970-71,NA,NA,NA,NA
Haryana,1975-76,8000,3000,1000,0
Haryana,1980-81,NA,NA,NA,NA
Haryana,1985-86,NA,NA,NA,NA
Haryana,1990-91,NA,NA,NA,NA
Haryana,1995-96,14000,0,1000,0
Haryana,2000-01,15900,800,2200,100
Haryana,2005-06,29900,800,1900,0
Himachal Pradesh,1970-71,1610,1584,564,1869
Himachal Pradesh,1975-76,4000,16000,1000,18000
Himachal Pradesh,1980-81,NA,NA,NA,NA
Himachal Pradesh,1985-86,NA,NA,NA,NA
Himachal Pradesh,1990-91,NA,NA,NA,NA
Himachal Pradesh,1995-96,9,28,6,44
Himachal Pradesh,2000-01,13400,33200,5200,62800
Himachal Pradesh,2005-06,14300,34700,6000,73500
Jammu and Kashmir,1970-71,10738,2231,3267,10685
Jammu and Kashmir,1975-76,NA,NA,17000,38000
Jammu and Kashmir,1980-81,NA,NA,NA,NA
Jammu and Kashmir,1985-86,NA,NA,NA,NA
Jammu and Kashmir,1990-91,NA,NA,NA,NA
Jammu and Kashmir,1995-96,16000,1000,6000,43000
Jammu and Kashmir,2000-01,9900,3300,13900,33400
Jammu and Kashmir,2005-06,11400,4900,18900,29400
Jharkhand,1970-71,NA,NA,NA,NA
Jharkhand,1975-76,NA,NA,NA,NA
Jharkhand,1980-81,NA,NA,NA,NA
Jharkhand,1985-86,NA,NA,NA,NA
Jharkhand,1990-91,NA,NA,NA,NA
Jharkhand,1995-96,NA,NA,NA,NA
Jharkhand,2000-01,NA,NA,NA,NA
Jharkhand,2005-06,NA,NA,NA,NA
Karnataka,1970-71,NA,NA,NA,NA
Karnataka,1975-76,5000,20000,15000,32000
Karnataka,1980-81,NA,NA,NA,NA
Karnataka,1985-86,NA,NA,NA,NA
Karnataka,1990-91,NA,NA,NA,NA
Karnataka,1995-96,32000,94000,36000,105000
Karnataka,2000-01,48600,123700,49300,122000
Karnataka,2005-06,54600,154900,69200,159700
Kerala,1970-71,5846,254194,1942,NA
Kerala,1975-76,NA,NA,NA,NA
Kerala,1980-81,NA,NA,NA,NA
Kerala,1985-86,NA,NA,NA,NA
Kerala,1990-91,NA,NA,NA,NA
Kerala,1995-96,10000,62000,39000,246000
Kerala,2000-01,15700,56400,40200,163400
Kerala,2005-06,20000,44800,34600,148300
Madhya Pradesh,1970-71,10056,30192,52178,32185
Madhya Pradesh,1975-76,45000,38000,10000,22000
Madhya Pradesh,1980-81,NA,NA,NA,NA
Madhya Pradesh,1985-86,NA,NA,NA,NA
Madhya Pradesh,1990-91,NA,NA,NA,NA
Madhya Pradesh,1995-96,86000,45000,27000,13000
Madhya Pradesh,2000-01,58600,49500,38400,7200
Madhya Pradesh,2005-06,71300,48500,44000,15000
Maharashtra,1970-71,73975,82251,68193,87185
Maharashtra,1975-76,49000,27000,74000,22000
Maharashtra,1980-81,NA,NA,NA,NA
Maharashtra,1985-86,NA,NA,NA,NA
Maharashtra,1990-91,NA,NA,NA,NA
Maharashtra,1995-96,140000,54000,207000,109000
Maharashtra,2000-01,91100,61300,202300,168500
Maharashtra,2005-06,NA,NA,NA,NA
Manipur,1970-71,NA,NA,NA,NA
Manipur,1975-76,NA,NA,NA,NA
Manipur,1980-81,NA,NA,NA,NA
Manipur,1985-86,NA,NA,NA,NA
Manipur,1990-91,NA,NA,NA,NA
Manipur,1995-96,1000,13000,0,2000
Manipur,2000-01,1900,25300,0,9400
Manipur,2005-06,300,12800,0,3300
Meghalaya,1970-71,NA,NA,NA,NA
Meghalaya,1975-76,NA,NA,NA,NA
Meghalaya,1980-81,NA,NA,NA,NA
Meghalaya,1985-86,NA,NA,NA,NA
Meghalaya,1990-91,NA,NA,NA,NA
Meghalaya,1995-96,1000,24000,0,23000
Meghalaya,2000-01,NA,NA,NA,NA
Meghalaya,2005-06,1400,30700,0,13300
Mizoram,1970-71,NA,NA,NA,NA
Mizoram,1975-76,NA,NA,NA,NA
Mizoram,1980-81,NA,NA,NA,NA
Mizoram,1985-86,NA,NA,NA,NA
Mizoram,1990-91,NA,NA,NA,NA
Mizoram,1995-96,0,4000,0,7000
Mizoram,2000-01,100,3600,0,7100
Mizoram,2005-06,200,3300,0,9900
Nagaland,1970-71,235,3989,40,1176
Nagaland,1975-76,NA,NA,NA,NA
Nagaland,1980-81,NA,NA,NA,NA
Nagaland,1985-86,NA,NA,NA,NA
Nagaland,1990-91,NA,NA,NA,NA
Nagaland,1995-96,0,14000,0,10000
Nagaland,2000-01,100,27400,0,10000
Nagaland,2005-06,0,28200,0,18300
Orissa,1970-71,196,458,55,133
Orissa,1975-76,NA,NA,NA,NA
Orissa,1980-81,NA,NA,NA,NA
Orissa,1985-86,NA,NA,NA,NA
Orissa,1990-91,NA,NA,NA,NA
Orissa,1995-96,64000,19000,1000,52000
Orissa,2000-01,73900,29200,4200,60500
Orissa,2005-06,68200,28500,2400,99800
Punjab,1970-71,15413,1198,9931,2736
Punjab,1975-76,NA,NA,NA,NA
Punjab,1980-81,NA,NA,NA,NA
Punjab,1985-86,NA,NA,NA,NA
Punjab,1990-91,NA,NA,NA,NA
Punjab,1995-96,54000,1000,2000,0
Punjab,2000-01,76600,200,19500,100
Punjab,2005-06,78700,200,32600,200
Rajasthan,1970-71,27069,7902,4630,2438
Rajasthan,1975-76,25000,3000,5000,1000
Rajasthan,1980-81,NA,NA,NA,NA
Rajasthan,1985-86,NA,NA,NA,NA
Rajasthan,1990-91,NA,NA,NA,NA
Rajasthan,1995-96,63000,6000,10000,2000
Rajasthan,2000-01,94300,264700,9300,1200
Rajasthan,2005-06,99700,52700,13900,700
Sikkim,1970-71,NA,NA,NA,NA
Sikkim,1975-76,NA,NA,NA,NA
Sikkim,1980-81,NA,NA,NA,NA
Sikkim,1985-86,NA,NA,NA,NA
Sikkim,1990-91,NA,NA,NA,NA
Sikkim,1995-96,0,5000,0,1000
Sikkim,2000-01,100,2300,200,400
Sikkim,2005-06,800,5300,0,700
Tamil Nadu,1970-71,30708,51034,32312,52426
Tamil Nadu,1975-76,60000,38000,39000,75000
Tamil Nadu,1980-81,NA,NA,NA,NA
Tamil Nadu,1985-86,NA,NA,NA,NA
Tamil Nadu,1990-91,NA,NA,NA,NA
Tamil Nadu,1995-96,102000,72000,119000,148000
Tamil Nadu,2000-01,101700,86100,90800,177700
Tamil Nadu,2005-06,114900,77600,116600,187200
Tripura,1970-71,644,4011,141,9533
Tripura,1975-76,NA,NA,NA,NA
Tripura,1980-81,NA,NA,NA,NA
Tripura,1985-86,NA,NA,NA,NA
Tripura,1990-91,NA,NA,NA,NA
Tripura,1995-96,3000,7000,0,16000
Tripura,2000-01,6800,10800,300,22300
Tripura,2005-06,8800,14800,300,23300
Uttar Pradesh,1970-71,167076,39284,10944,31571
Uttar Pradesh,1975-76,209000,42000,23000,35000
