State,District,ADM2_CODE
ANDHRA PRADESH,ADILABAD,17547
ANDHRA PRADESH,ANANTAPUR,17548
ANDHRA PRADESH,ANANTHAPUR,17548
ANDHRA PRADESH,CHECK,NA
ANDHRA PRADESH,CHITTOOR,17549
ANDHRA PRADESH,CUDDAPAH,17550
ANDHRA PRADESH,EAST GODAVARI,17568
ANDHRA PRADESH,GUNTUR,17563
ANDHRA PRADESH,HYDERABAD,17564
ANDHRA PRADESH,KARIMNAGAR,17554
ANDHRA PRADESH,KHAMMAM,17568
ANDHRA PRADESH,KHAMMAN,17568
ANDHRA PRADESH,KRISHNA,17556
ANDHRA PRADESH,KURNOOL,17563
ANDHRA PRADESH,MAHABOOB NAGAR,17564
ANDHRA PRADESH,MAHABOOBNAGAR,17564
ANDHRA PRADESH,MAHABUBNAGAR,17564
ANDHRA PRADESH,MEDAK,17564
ANDHRA PRADESH,NALGONDA,17560
ANDHRA PRADESH,NELLORE,17563
ANDHRA PRADESH,NIZAMABAD,17562
ANDHRA PRADESH,PRAKASAM,17563
ANDHRA PRADESH,RANGA REDDY,17564
ANDHRA PRADESH,RANGAREDDY,17564
ANDHRA PRADESH,SRIKAKULAM,17565
ANDHRA PRADESH,SRIKAKULUM,17565
ANDHRA PRADESH,TOTAL,NA
ANDHRA PRADESH,VIJAYA NAGARAM,17565
ANDHRA PRADESH,VISAKHAPATANAM,17565
ANDHRA PRADESH,VISAKHAPATNAM,17565
ANDHRA PRADESH,VIZIANAGARAM,17565
ANDHRA PRADESH,WARANGAL,17568
ANDHRA PRADESH,WEST GODAVARI,17569
ARUNACHAL PRADESH,CHANGLANG,NA
ARUNACHAL PRADESH,DIBANG VALLEY,NA
ARUNACHAL PRADESH,EAST KAMENG,NA
ARUNACHAL PRADESH,EAST SIANG,NA
ARUNACHAL PRADESH,LOHIT,NA
ARUNACHAL PRADESH,LOWER SUBANSIRI,NA
ARUNACHAL PRADESH,PAPUM PARE,NA
ARUNACHAL PRADESH,PAPUMPARE,NA
ARUNACHAL PRADESH,TAWANG,NA
ARUNACHAL PRADESH,TIRAP,NA
ARUNACHAL PRADESH,UPPER SIANG,NA
ARUNACHAL PRADESH,UPPER SUBANSIRI,NA
ARUNACHAL PRADESH,WEST KAMENG,NA
ARUNACHAL PRADESH,WEST SIANG,NA
ASSAM,BAKSA,17590
ASSAM,BARPETA,17590
ASSAM,BARPETTA,17590
ASSAM,BONGAIGAON,70086
ASSAM,CACHAR,17577
ASSAM,CHECK,NA
ASSAM,CHIRANG,70086
ASSAM,DARRANG,17590
ASSAM,DEBRUGARH,70087
ASSAM,DHEMAJI,70087
ASSAM,DHUBRI,70086
ASSAM,DIBRUGARH,70087
ASSAM,GOALPARA,70086
ASSAM,GOLAGHAT,17592
ASSAM,HAILAKANDI,17577
ASSAM,JORHAT,17592
ASSAM,KAMRUP,17590
ASSAM,KAMRUP ( RURAL ),17590
ASSAM,KAMRUP METRO,17590
ASSAM,KARBI ANGLONG,17590
ASSAM,KARBIANGLONG,17590
ASSAM,KARIMGANJ,17577
ASSAM,KOKRAJHAR,70086
ASSAM,LAKHIMPUR,70087
ASSAM,MARIGAON,17590
ASSAM,MORIGAON,17590
ASSAM,N.C. HILLS,17590
ASSAM,NAGAON,17590
ASSAM,NAGOAN,17590
ASSAM,NALBARI,17590
ASSAM,NC HILLS,17590
ASSAM,NORTH CACHAR HILLS,17590
ASSAM,SIBASAGAR,17592
ASSAM,SIBSAGAR,17592
ASSAM,SONIPUR,17590
ASSAM,SONITPUR,17590
ASSAM,TINSUKIA,70087
ASSAM,TOTAL,NA
ASSAM,UDALGURI,17590
BIHAR,ARARIA,17621
BIHAR,AURANGABAD,17594
BIHAR,BANKA,17596
BIHAR,BEGUSARAI,70101
BIHAR,BHABUA,17623
BIHAR,BHAGALPUR,17596
BIHAR,BHOJPUR,17623
BIHAR,BOKARO,70146
BIHAR,BUXAR,17623
BIHAR,CHAMPARAN EAST,17620
BIHAR,CHAMPARAN WEST,17620
BIHAR,CHATRA,70146
BIHAR,CHECK,NA
BIHAR,DARBHANGA,17598
BIHAR,DEOGHAR,70147
BIHAR,DHANBAD,70146
BIHAR,DUMKA,70147
BIHAR,EAST CHAMPARAN,17620
BIHAR,EAST SINGHBHUM,70152
BIHAR,GARHWA,70151
BIHAR,GAYA,17594
BIHAR,GIRIDIH,70146
