0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Andhra Pradesh,1,Adilabad,16921,2579,2549,2408,1377,359,3782,11267,10296,218,21781,10595,7865,7101,25561,5278,5085,15198,25561,8496,3600,7996,2235,22327,24113,18583,12181,6053,112,1,18347,NA,NA,NA,NA,NA
Andhra Pradesh,2,Anantapur,49029,3826,3033,2561,1636,1180,14223,17173,12507,17362,47042,13956,22091,26702,92749,3929,1347,57473,92749,40231,5684,657,542,47114,89336,83827,41621,22094,9716,294,73725,NA,NA,NA,NA,NA
Andhra Pradesh,3,Chittoor,113230,2634,2072,2134,1724,718,14652,48895,45833,13132,107860,51330,44995,25545,121870,7949,1092,112829,121870,78271,15817,11819,1923,107860,113322,127301,51754,38232,3015,9618,102619,NA,NA,NA,NA,NA
Andhra Pradesh,4,Cuddapah,38947,2464,1337,717,497,260,8850,20041,8040,7291,35372,11845,19186,13191,44222,2564,435,41223,44222,23504,7201,3656,1011,35372,69092,71429,38308,14689,3276,827,57100,NA,NA,NA,NA,NA
Andhra Pradesh,5,East Godavari,11818,44,57,55,39,20,348,1383,9369,933,11685,1776,2705,7527,12008,377,5,11626,12008,1259,812,405,9316,11792,5907,6054,3470,1322,194,447,5433,NA,NA,NA,NA,NA
Andhra Pradesh,6,Guntur,4071,131,211,301,238,106,1165,1509,1865,519,3893,1854,1868,1336,5058,705,134,429,5058,972,1660,34,1227,3893,5381,5647,3180,847,470,5,4502,NA,NA,NA,NA,NA
Andhra Pradesh,7,Hyderabad,321,0,0,0,0,0,77,125,115,4,244,60,103,152,315,25,4,286,315,234,10,NA,NA,244,376,494,246,89,65,NA,400,NA,NA,NA,NA,NA
Andhra Pradesh,8,Karimnagar,135439,10964,8437,7794,4793,2117,11538,14515,141301,2190,158006,66457,57234,45071,168762,20115,4122,144525,168762,104848,28224,23415,1519,158006,157829,199895,103833,81135,1853,2417,189238,NA,NA,NA,NA,NA
Andhra Pradesh,9,Khamman,17361,2142,1888,1729,778,301,2683,3020,18064,432,21516,7364,9209,7626,24199,2159,6177,15863,24199,9309,7861,4034,312,21516,26077,25366,12605,11176,438,2,24221,NA,NA,NA,NA,NA
Andhra Pradesh,10,Krishna,12837,337,232,168,82,59,2020,3884,3929,3882,11695,3451,4258,5886,13595,1115,491,11989,13595,6817,3555,955,368,11695,22221,22693,9803,6341,1539,1102,18785,NA,NA,NA,NA,NA
Andhra Pradesh,11,Kurnool,17090,1872,1971,1881,1242,476,2536,11396,9454,1146,21996,3014,7723,13897,24634,3038,386,21210,24634,13933,7964,62,268,22227,40762,50910,26787,15458,975,25,43245,NA,NA,NA,NA,NA
Andhra Pradesh,12,Mahabubnagar,88392,6136,4280,3474,1851,933,22979,7548,66588,7951,82087,30361,41413,53491,125265,14565,8764,101936,125265,38811,36189,6119,968,82087,123517,149513,50895,28635,743,294,80567,NA,NA,NA,NA,NA
Andhra Pradesh,13,Medak,64451,4609,3583,3124,1971,803,8230,10168,51338,8805,70311,31747,27010,21124,79881,8838,2671,68372,79881,56473,7788,4588,1570,70419,83530,91149,44016,25405,660,8100,78182,NA,NA,NA,NA,NA
Andhra Pradesh,14,Nalgonda,86123,5523,4111,3471,2001,1122,17880,16911,49008,18552,84471,26883,38650,46861,112394,13497,8634,90263,112394,69516,7856,6097,1002,84471,118671,115866,59338,43523,1846,597,105304,NA,NA,NA,NA,NA
Andhra Pradesh,15,Nellore,20666,1156,969,831,684,157,2322,8482,11622,2037,22141,16522,16141,11584,44247,8486,1493,34268,44247,12018,9737,168,227,22150,38944,41588,9312,21862,7044,48,38266,NA,NA,NA,NA,NA
Andhra Pradesh,16,Nizamabad,39357,4102,3130,2452,1684,1022,2525,6356,32924,9762,49222,25654,21123,9464,56241,7839,3500,44902,56241,46691,1381,774,478,49324,60584,77317,44352,19353,5988,3167,72860,NA,NA,NA,NA,NA
Andhra Pradesh,17,Prakasam,22690,1056,986,1039,451,160,2253,10075,11939,2115,24129,5831,13109,19723,38663,4047,431,35185,38663,11747,11431,502,449,24129,50585,53575,25840,19433,1749,59,47081,NA,NA,NA,NA,NA
Andhra Pradesh,18,Ranga Reddy,29770,1565,1464,1402,939,532,4783,12189,16053,2647,30889,8051,10954,18475,37490,3811,1811,31868,37490,24684,3445,2282,478,30889,47128,41053,20562,12523,1357,372,34814,NA,NA,NA,NA,NA
Andhra Pradesh,19,Srikakulam,23263,2460,2233,2412,1782,696,725,22101,10001,19,32121,21085,9726,3504,34315,4027,1333,28955,34315,2018,2703,6319,21076,32121,17375,20879,9643,10589,100,176,20508,NA,NA,NA,NA,NA
Andhra Pradesh,20,Visakhapatanam,19555,656,456,560,607,298,1109,15558,5176,289,21023,13141,11012,3107,27260,873,227,26160,27260,2955,4005,12021,2042,21023,21058,22589,10440,7906,902,3017,22265,NA,NA,NA,NA,NA
Andhra Pradesh,21,Vizianagaram,27360,1918,1408,1123,1118,580,1839,22568,9021,79,31668,17652,16626,5351,39629,2814,676,36139,39629,1734,1987,12953,14994,31668,19999,21505,1634,17629,62,1344,20669,NA,NA,NA,NA,NA
Andhra Pradesh,22,Warangal,112241,11577,8238,6407,3254,2209,3407,21201,117445,1873,140519,56924,53359,33720,144003,14761,25401,103841,144003,75185,28353,34777,2204,140519,158317,183157,98762,70117,373,12,169264,NA,NA,NA,NA,NA
Andhra Pradesh,23,West Godavari,12964,955,791,351,364,123,804,1914,774,12256,14944,2244,4689,10216,17149,2097,407,14845,17149,1262,2132,459,91,14944,45287,50244,18906,22318,4742,1791,47757,NA,NA,NA,NA,NA
Andhra Pradesh,,TOTAL,963266,68706,53436,46594,29112,14231,130730,288459,642662,113494,1044615,427807,441049,390654,1259510,131909,74626,1052975,1259510,641968,199400,140122,64300,1045790,1339411,1480634,697488,496730,47219,33715,1275152,NA,NA,NA,NA,NA
Andhra Pradesh,,check,,,,,,,,,,,,,,,,,,,1289510,630968,199395,140092,64300,1045790,1339438,1480662,697517,496729,47219,33715,1275152,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assam,1,Barpetta,,,,,,,,,,,,,,,,,,,,,,1,,1,1,2,1,1,,,2,,,,,
Assam,2,Cachar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assam,3,Debrugarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assam,4,Dhubri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assam,5,Goalpara,86,861,51,233,77,78,,406,980,,1386,742,519,125,1386,40,159,1187,1386,,,873,513,1386,482,484,29,23,4,257,313,,,,,
Assam,6,Golaghat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assam,7,Kamrup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assam,8,Karbi Anglong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
