0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
Andhra Pradesh,1,Adilabad,,,,,,,,635,36,,4,675,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,2,Anantapur,,,,,,,,3075,83,,9,3167,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,3,Chittoor,,,,,,,,2032,178,,,2210,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,4,Cuddapah,,,,,,,,5956,162,,121,6239,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,5,East Godavari,,,,,,,,8062,5827,,146,14035,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,6,Guntur,,,,,,,,8188,633,,6,8827,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,7,Hyderabad,,,,,,,,4,,,,4,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,8,Karimnagar,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,9,Khamman,,,,,,,,710,442,,8,1160,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,10,Krishna,,,,,,,,6630,729,,25,7384,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,11,Kurnool,,,,,,,,597,56,,170,823,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,12,Mahabubnagar,,,,,,,,1989,522,,57,2568,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,13,Medak,,,,,,,,1948,5,,11,1964,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,14,Nalgonda,,,,,,,,1061,1,,,1062,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,15,Nellore,,,,,,,,21594,512,,1,22107,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,16,Nizamabad,,,,,,,,7099,96,,1282,8477,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,17,Prakasam,,,,,,,,1042,504,,13,1559,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,18,Ranga Reddy,,,,,,,,1706,2,,39,1747,,,,,,,,,,,,,,,,,,,,,,,
