State,Dgw_Electric,Dgw_Diesel,Dgw_Manual,Dgw_Others,Dgw_Total,Stw_Electric,Stw_Diesel,Stw_Manual,Stw_Others,Stw_Total
Andhra Pradesh,641968,199400,140122,64300,1045790,90174,15831,,2410,108415
Arunachal Pradesh,,,,,0,,,,,0
Assam,,,874,513,1387,635,13279,1,2,13917
Bihar,25496,108028,193814,,327338,38974,383454,896,1433,424757
Chhattisgarh,,,,,,,,,,
Goa,1616,183,2783,282,4864,4,1,,,5
Gujarat,163884,186434,14186,10636,375140,3350,1176,41,34,4601
Haryana,36522,2766,59,78,39425,226488,129390,,86,355964
Himachal Pradesh,987,479,615,28,2109,647,619,5,5,1276
Jammu & Kashmir,237,49,1038,12,1336,660,82,,6,748
Jharkhand,,,,,,,,,,
Karnataka,302793,42384,32964,23216,401357,39912,141,29,841,40923
Kerala,,,,124021,124021,,,,,0
Madhya Pradesh,469974,131483,342257,13233,956947,21993,327,135,234,22689
Maharashtra,812637,163435,75061,45559,1096692,3991,130,3,139,4263
Manipur,,,,,0,,,494,,494
Meghalaya,,,49,,49,,410,,,410
Mizoram,,,,,0,,,,,0
Nagaland,,15,272,,287,,,,,0
Orissa,8592,5226,190353,23069,227240,4706,1123,4,15,5848
Punjab,2597,2155,2035,248,7035,484581,236634,126165,22595,869975
Rajasthan,,,,,0,,,,,0
Sikkim,,,,,0,,,,,0
Tamil Nadu,720310,243894,330620,51401,1346225,67883,27381,59,50,95373
Tripura,,,886,70,956,75,2,26,6213,6316
Uttar Pradesh,4626,46208,177389,17667,245890,363717,1230670,380,24745,1619512
Uttaranchal,,,,,,,,,,
West Bengal,93,10857,49986,2452,63388,33237,323621,8163,1521,366542
Andaman & Nicobar,,,,,0,,,,,0
Chandigarh,,,28,,28,156,11,,,167
Dadra & Nagar Haveli,179,16,10,1,206,6,1,, ,7
Daman & Diu,547,207,71,56,881,3,,,,3
Delhi,,,,,0,10597,3067,,488,14152
Lakshadweep,,,,,0,,,,,0
Pondicherry,5211,25,,,5236,1039,155,,11,1205
TOTAL,3198269,1143246,1555472,376842,6273829,1392828,2367505,136401,60828,3957562
,3198269,1143244,1555472,376842,6273827,1392828,2367505,136401,60828,3957562
