State,Dgw_Electric,Dgw_Diesel,Dgw_Manual,Dgw_Others,Dgw_Total,Stw_Electric,Stw_Diesel,Stw_Manual,Stw_Others,Stw_Total,Dtw_Electric,Dtw_Diesel,Dtw_Manual,Dtw_Others,Dtw_Total
Andhra Pradesh,975358,97708,,,1073066,628662,20629,,,649291,87482,0,,,87482
Arunachal Pradesh,1,3,,,4,0,0,,,0,3,0,,,3
Assam,9,138,,,147,516,77780,,,78296,760,0,,,760
Bihar,12261,65145,,,77406,28421,611225,,,639646,6190,0,,,6190
Chhattisgarh,116376,15446,,,131822,75997,481,,,76478,5227,0,,,5227
Goa,2666,233,,,2899,29,0,,,29,60,0,,,60
Gujarat,430004,466759,,,896763,43931,6565,,,50496,94182,0,,,94182
Haryana,8880,5610,,,14490,220556,142401,,,362957,24339,0,,,24339
Himachal Pradesh,1334,357,,,1691,1678,930,,,2608,351,0,,,351
Jammu & Kashmir,2283,178,,,2461,1247,115,,,1362,20,0,,,20
Jharkhand,3703,146658,,,150361,289,759,,,1048,28,0,,,28
Karnataka,283509,28827,,,312336,523836,1484,,,525320,32,0,,,32
Kerala,133303,9358,,,142661,4112,252,,,4364,227,0,,,227
Madhya Pradesh,1066676,163656,,,1230332,265406,8249,,,273655,36398,0,,,36398
Maharashtra,1462929,65027,,,1527956,53884,389,,,54273,77223,0,,,77223
Manipur,0,3,,,3,0,3,,,3,0,0,,,0
Meghalaya,1,0,,,1,6,69,,,75,8,0,,,8
Mizoram,0,0,,,0,0,0,,,0,0,0,,,0
Nagaland,22,155,,,177,1,1,,,2,3,0,,,3
Orissa,13833,29821,,,43654,15322,25411,,,40733,4592,0,,,4592
Punjab,1301,1604,,,2905,777852,285880,,,1063732,9990,0,,,9990
Rajasthan,424717,482114,,,906831,28539,82568,,,111107,56764,0,,,56764
Sikkim,0,0,,,0,0,0,,,0,0,0,,,0
Tamil Nadu,1206662,269862,,,1476524,122025,27164,,,149189,84010,0,,,84010
Tripura,9,8,,,17,623,121,,,744,168,0,,,168
Uttar Pradesh,6668,105218,,,111886,445375,2978677,,,3424052,35085,0,,,35085
Uttaranchal,121,341,,,462,8564,42980,,,51544,883,0,,,883
West Bengal,753,14523,,,15276,237,52923,,,53160,5139,0,,,5139
Andaman & Nicobar,6,1,,,7,0,0,,,0,0,0,,,0
Chandigarh,0,0,,,0,108,24,,,132,57,0,,,57
Dadra & Nagar Haveli,325,247,,,572,0,0,,,0,0,0,,,0
Daman & Diu,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0
Delhi,0,0,,,0,7978,2347,,,10325,645,0,,,645
Lakshadweep,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0
Pondicherry,74,4,,,78,4314,50,,,4364,328,0,,,328
TOTAL,6153784,1969004,,,8122788,3259508,4369477,,,7628985,530194,0,,,530194
,6153784,1969004,,,8122788,3259508,4369477,,,7628985,530194,0,,,530194
