"STATE","DISTRICT","OPEN WATER CHANNEL (LINED/PUCCA) - NUMBER","OPEN WATER CHANNEL (LINED/PUCCA) - POTENTIAL UTILISED","OPEN WATER CHANNEL (UNLINED/KUTCHA) - NUMBER","OPEN WATER CHANNEL (UNLINED/KUTCHA) - POTENTIAL UTILISED","UNDERGROUND PIPE - NUMBER","UNDERGROUND PIPE - POTENTIAL UTILISED","SURFACE PIPE - NUMBER","SURFACE PIPE - POTENTIAL UTILISED","DRIP - NUMBER","DRIP - POTENTIAL UTILISED","SPRINKLER - NUMBER","SPRINKLER - POTENTIAL UTILISED","OTHERS - NUMBER","OTHERS - POTENTIAL UTILISED","TOTAL - NUMBER","TOTAL - POTENTIAL UTILISED"
"ANDAMAN & NICOBARS","ANDAMAN",0,0,0,0,1,1,85,82.6,0,0,0,0,546,464.19,632,547.79
"ANDAMAN & NICOBARS","N & M ANDA",41,22.35,107,76.79,0,0,101,53.14,0,0,0,0,381,154.69,630,306.97
"ANDAMAN & NICOBARS","NICOBAR",0,0,0,0,0,0,0,0,0,0,0,0,21,7.5,21,7.5
"ANDHRA PRADESH","ADILABAD",1073,821.44,15330,12975.39,11063,13616.48,512,409.77,760,1009.31,0,0,8,14.4,28746,28846.79
"ANDHRA PRADESH","ANANTHAPUR",7081,4747.05,17993,4169.32,11603,8117.44,766,719.78,563,612.81,139,163.08,471,129.98,38616,18659.46
"ANDHRA PRADESH","CHITTOOR",6852,3004.32,79008,45775.08,4785,4690.64,107,149.64,42,28.36,0,0,307,13.23,91101,53661.27
"ANDHRA PRADESH","CUDDAPAH",6197,1126.23,25328,7009.76,3701,749.35,309,279.31,20,15.81,0,0,1154,2.02,36709,9182.48
"ANDHRA PRADESH","EAST GODAVARI",61,3.09,1176,1615.24,25,37.33,28,48.35,2,4.86,0,0,0,0,1292,1708.87
"ANDHRA PRADESH","GUNTUR",817,597.39,11677,9202.21,316,166.28,50,1.62,6,10.62,0,0,5689,1679.62,18555,11657.74
"ANDHRA PRADESH","KARIMNAGAR",28022,35691.6,160967,180469.27,19271,24022.58,1479,1405.25,7,10.08,1,0.4,135,74.35,209882,241673.53
"ANDHRA PRADESH","KHAMMAM",1964,1989.04,34917,41496.23,2911,4283.43,2492,3633.78,11,16.59,0,0,238,12.38,42533,51431.45
"ANDHRA PRADESH","KRISHNA",2310,3828.33,7877,7209.16,377,647.15,1367,1357.72,28,39.31,5,0,1,0,11965,13081.67
"ANDHRA PRADESH","KURNOOL",3547,5747.01,16536,27468.52,6249,8592.78,2745,4245.25,160,178.2,15,19.08,151,149.12,29403,46399.96
"ANDHRA PRADESH","MAHABOOBNAGAR",11142,9104.87,35729,23759.39,8223,4888.13,3221,3490.61,152,96.02,74,21.96,9852,11.69,68393,41372.67
"ANDHRA PRADESH","MEDAK",707,882.31,20957,13474.42,3853,3852.97,637,716.22,465,952.3,13,13.91,15,14.19,26647,19906.32
"ANDHRA PRADESH","NALGONDA",6716,5863.79,30348,33123.86,20106,19429.85,4386,4492.73,60,69.68,9,0.36,369,185.27,61994,63165.54
"ANDHRA PRADESH","NELLORE",1784,1238.11,28018,25395.8,1049,1499.74,249,279.95,64,84.96,6,7.29,20,0,31190,28505.85
"ANDHRA PRADESH","NIZAMABAD",164,76.42,3878,4920.55,1236,1434.39,1942,1667.95,0,0,0,0,0,0,7220,8099.31
"ANDHRA PRADESH","PRAKASAM",459,238.55,14366,9198.64,206,147.52,1097,1195.36,32,31.65,5,9.31,1003,33.64,17168,10854.67
"ANDHRA PRADESH","RANGAREDDY",3231,1309.81,19316,12225.19,3325,1838.78,474,273.1,624,11.8,10,11.87,65,14.06,27045,15684.61
"ANDHRA PRADESH","SRIKAKULAM",1164,265.29,34455,11322.19,95,34.04,429,286.56,22,13.33,48,37.62,163,58.73,36376,12017.76
"ANDHRA PRADESH","VISAKHAPATNAM",1991,700.4,22456,16051.51,458,386,270,247.82,17,9.1,1,0.4,346,125.49,25539,17520.72
"ANDHRA PRADESH","VIZIANAGARAM",745,393.36,32303,16292.1,165,179.94,1637,1130.13,20,19.63,10,7.33,200,149.06,35080,18171.55
"ANDHRA PRADESH","WARANGAL",15888,16548.81,108951,113687.79,16598,15034.57,4929,6267.62,2245,1240.59,4,4.92,9222,6736.33,157837,159520.63
"ANDHRA PRADESH","WEST GODAVARI",1747,5596.85,1562,5629.81,182,418.87,0,0,0,0,0,0,132,189.24,3623,11834.77
"ARUNACHAL PRADESH","CHANGLANG",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"ARUNACHAL PRADESH","LOHIT",1,0,2,0,0,0,0,0,0,0,0,0,9,0,12,0
"ASSAM","BAKSA",0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3
"ASSAM","BONGAIGAON",0,0,19,24.6,0,0,0,0,0,0,0,0,0,0,19,24.6
"ASSAM","CHIRANG",0,0,2,2,0,0,0,0,0,0,0,0,1,0,3,2
"ASSAM","DHEMAJI",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"ASSAM","JORHAT",2,2,3,5,1,33,0,0,0,0,0,0,11,4,17,44
"ASSAM","KAMRUP ( RURAL )",0,0,11,20.7,1,30,0,0,0,0,0,0,44,43,56,93.7
