"STATE","DISTRICT","OPEN WATER CHANNEL (LINED/PUCCA) - NUMBER","OPEN WATER CHANNEL (UNLINED/KUTCHA) - POTENTIAL UTILISED","OPEN WATER CHANNEL (UNLINED/KUTCHA) - NUMBER","OPEN WATER CHANNEL (UNLINED/KUTCHA) - POTENTIAL UTILISED","UNDERGROUND PIPE - NUMBER","UNDERGROUND PIPE - POTENTIAL UTILISED","SURFACE PIPE - NUMBER","SURFACE PIPE - POTENTIAL UTILISED","DRIP - NUMBER","DRIP - POTENTIAL UTILISED","SPRINKLE - NUMBER","SPRINKLE - POTENTIAL UTILISED","OTHER - NUMBER","OTHER - POTENTIAL UTILISED","TOTAL - NUMBER","TOTAL - POTENTIAL UTILISED"
"ANDAMAN & NICOBARS","ANDAMAN",0,0,0,0,0,0,1,0,0,0,0,0,5,2,6,2
"ANDAMAN & NICOBARS","N & M ANDA",0,0,1,0,0,0,3,2.05,0,0,0,0,3,0.77,7,2.82
"ANDAMAN & NICOBARS","NICOBAR",1,0.5,0,0,0,0,0,0,0,0,0,0,72,18.4,73,18.9
"ANDHRA PRADESH","ADILABAD",718,979.31,2472,2770.44,12841,25555.23,66,84.02,70,81.23,0,0,5,8.08,16172,29478.31
"ANDHRA PRADESH","ANANTHAPUR",10292,13489.37,13713,16755.99,22310,22839.31,962,1121.57,4248,5303.15,1026,1202.81,628,920.48,53179,61632.68
"ANDHRA PRADESH","CHITTOOR",941,1073.01,14541,20661.58,3441,5629.49,66,199.79,3,4.19,0,0,3,2.34,18995,27570.4
"ANDHRA PRADESH","CUDDAPAH",1241,2362.31,7246,12749.07,7440,12705.19,638,1176.66,7,29.36,2,2.46,11,0,16585,29025.05
"ANDHRA PRADESH","EAST GODAVARI",637,1501.14,25053,62310.55,826,1437.58,1126,1590.45,24,115.64,0,0,106,320.94,27772,67276.3
"ANDHRA PRADESH","GUNTUR",1107,1726.28,20631,27922.65,1082,1627.86,7,3.48,0,0,0,0,290,833.35,23117,32113.62
"ANDHRA PRADESH","KARIMNAGAR",9620,11906.5,5463,7358.69,2217,2144.15,723,579.18,1,0.2,0,0,14,11.4,18038,22000.12
"ANDHRA PRADESH","KHAMMAM",963,3051.14,11989,20222.8,1493,2678.99,2034,4111.2,104,345.31,2,10.53,51,81.69,16636,30501.66
"ANDHRA PRADESH","KRISHNA",1650,2290.03,20677,29385.4,1193,1846.3,3969,5334.82,63,163.88,20,73.67,1218,556.6,28790,39650.7
"ANDHRA PRADESH","KURNOOL",2751,4842.8,9874,21040.2,12021,21872.21,2016,3550.91,379,377.3,13,39.77,87,141.42,27141,51864.61
"ANDHRA PRADESH","MAHABOOBNAGAR",11437,12837.65,51420,56908.32,22994,28736.12,6071,7706.2,1911,3366.75,1038,1142.94,2603,206.83,97474,110904.81
"ANDHRA PRADESH","MEDAK",6380,7163.74,42871,42829.48,44411,51532.65,3952,4316.34,133,317.29,70,112.04,2,0.72,97819,106272.26
"ANDHRA PRADESH","NALGONDA",16391,15773.23,41292,41393.36,57060,56614.13,6312,6286.79,1175,2007.41,13,4.21,134,100.04,122377,122179.17
"ANDHRA PRADESH","NELLORE",2373,3658.32,41118,58885.07,2770,5175.51,350,486.61,85,174.51,187,346.15,89,1.01,46972,68727.18
"ANDHRA PRADESH","NIZAMABAD",7718,12514.81,45958,70821.37,72063,122767.36,5383,4691.11,24,50.78,5,5.68,210,209.74,131361,211060.85
"ANDHRA PRADESH","PRAKASAM",1401,1488.87,17478,13005.22,2171,2759.16,2018,1576.86,81,123.11,2064,4783.79,3389,4297.98,28602,28034.99
"ANDHRA PRADESH","RANGAREDDY",2856,2627.44,36331,34142.56,7403,6166.01,2392,1676.26,99,83.31,96,57.31,268,272.26,49445,45025.15
"ANDHRA PRADESH","SRIKAKULAM",572,661.16,7636,6168.12,227,254.15,803,475.5,38,16.99,32,32.21,204,175.98,9512,7784.11
"ANDHRA PRADESH","VISAKHAPATNAM",529,488.9,8364,9648.93,788,722.6,1391,1914.99,184,468.59,1,0.4,70,64.5,11327,13308.91
"ANDHRA PRADESH","VIZIANAGARAM",118,157.89,6273,11734.65,503,1135.13,2446,3710.5,145,363.65,36,53.38,54,51.35,9575,17206.55
"ANDHRA PRADESH","WARANGAL",11855,12875.47,27722,24649.17,3160,3293.42,1506,1784.63,94,82.53,6,6.48,1830,530.18,46173,43221.88
"ANDHRA PRADESH","WEST GODAVARI",6283,20746.43,12585,34974.14,687,2482.98,12,23.24,15,95.68,1,0,53,46.34,19636,58368.81
"ARUNACHAL PRADESH","CHANGLANG",0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
"ARUNACHAL PRADESH","DIBANG VALLEY",0,0,0,0,0,0,5,44,0,0,0,0,0,0,5,44
"ARUNACHAL PRADESH","LOHIT",1,32,1,0,0,0,0,0,0,0,0,0,0,0,2,32
"ARUNACHAL PRADESH","TIRAP",1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
"ASSAM","BAKSA",3,6,170,399.2,2,5,1,3,0,0,0,0,439,483.9,615,897.1
"ASSAM","BARPETA",8,18.25,12531,23768.92,0,0,0,0,0,0,0,0,296,0,12835,23787.17
"ASSAM","BONGAIGAON",6,6.5,4609,6286.5,1,1.6,0,0,2,2,78,78,31,27.4,4727,6402
"ASSAM","CACHAR",0,0,0,0,0,0,0,0,0,0,0,0,4,5.56,4,5.56
"ASSAM","CHIRANG",1,0,664,924.6,1,2,0,0,0,0,0,0,351,29,1017,955.6
"ASSAM","DARRANG",5,8.14,6790,17410.63,0,0,1,14,0,0,0,0,227,0,7023,17432.77
"ASSAM","DHEMAJI",2,2.4,833,1039.3,0,0,0,0,0,0,0,0,640,0,1475,1041.7
"ASSAM","DHUBRI",50,70.15,16303,25752.72,3,25.66,0,0,1,5,0,0,714,0,17071,25853.53
"ASSAM","DIBRUGARH",3,4.19,1874,1721.15,2,2,2,2.6,0,0,0,0,3115,620.38,4996,2350.32
"ASSAM","GOALPARA",0,0,5084,13076.71,0,0,0,0,0,0,0,0,84,0,5168,13076.71
"ASSAM","GOLAGHAT",15,42,1257,2443.21,3,3.52,102,230.35,0,0,0,0,480,23,1857,2742.08
"ASSAM","JORHAT",17,17.7,726,1046.1,2,4,1,2,0,0,0,0,1540,731,2286,1800.8
"ASSAM","KAMRUP ( RURAL )",33,55,5723,9243,5,10.5,67,131.5,2,5,0,0,2967,3181.9,8797,12626.9
