"STATE","DISTRICT","ELECTRIC PUMP","DIESEL PUMP","WIND MILLS","SOLAR PUMPS","MANUAL/ANIMAL","OTHERS","TOTAL"
"ANDAMAN & NICOBARS","ANDAMAN",1,0,0,0,0,5,6
"ANDAMAN & NICOBARS","N & M ANDA",2,0,0,0,3,2,7
"ANDAMAN & NICOBARS","NICOBAR",1,0,0,0,0,72,73
"ANDHRA PRADESH","ADILABAD",15900,73,4,0,0,195,16172
"ANDHRA PRADESH","ANANTHAPUR",50318,1164,2,1,2,1692,53179
"ANDHRA PRADESH","CHITTOOR",18711,30,15,0,0,239,18995
"ANDHRA PRADESH","CUDDAPAH",16311,64,1,0,0,209,16585
"ANDHRA PRADESH","EAST GODAVARI",19278,7995,7,0,1,491,27772
"ANDHRA PRADESH","GUNTUR",21205,1888,10,0,0,14,23117
"ANDHRA PRADESH","KARIMNAGAR",17871,12,155,0,0,0,18038
"ANDHRA PRADESH","KHAMMAM",15772,749,5,0,0,110,16636
"ANDHRA PRADESH","KRISHNA",26592,2044,113,3,1,37,28790
"ANDHRA PRADESH","KURNOOL",25626,153,12,0,2,1348,27141
"ANDHRA PRADESH","MAHABOOBNAGAR",92654,295,10,5,2,4508,97474
"ANDHRA PRADESH","MEDAK",96200,34,6,0,1,1578,97819
"ANDHRA PRADESH","NALGONDA",120878,71,139,53,0,1236,122377
"ANDHRA PRADESH","NELLORE",46287,228,30,1,0,426,46972
"ANDHRA PRADESH","NIZAMABAD",131079,4,7,1,0,270,131361
"ANDHRA PRADESH","PRAKASAM",27659,309,109,36,239,250,28602
"ANDHRA PRADESH","RANGAREDDY",48625,0,5,0,0,815,49445
"ANDHRA PRADESH","SRIKAKULAM",8280,1096,0,2,31,103,9512
"ANDHRA PRADESH","VISAKHAPATNAM",10847,371,5,1,83,20,11327
"ANDHRA PRADESH","VIZIANAGARAM",8765,453,3,0,188,166,9575
"ANDHRA PRADESH","WARANGAL",41558,47,1710,4,0,2854,46173
"ANDHRA PRADESH","WEST GODAVARI",16355,3258,0,0,0,23,19636
"ARUNACHAL PRADESH","CHANGLANG",0,0,0,0,0,3,3
"ARUNACHAL PRADESH","DIBANG VALLEY",5,0,0,0,0,0,5
"ARUNACHAL PRADESH","LOHIT",1,1,0,0,0,0,2
"ARUNACHAL PRADESH","TIRAP",1,0,0,0,0,0,1
"ASSAM","BAKSA",0,471,0,0,0,144,615
"ASSAM","BARPETA",0,12538,1,0,0,296,12835
"ASSAM","BONGAIGAON",2,4710,1,0,0,14,4727
"ASSAM","CACHAR",0,4,0,0,0,0,4
"ASSAM","CHIRANG",0,694,0,0,0,323,1017
"ASSAM","DARRANG",0,6796,0,0,0,227,7023
"ASSAM","DHEMAJI",0,835,0,0,0,640,1475
"ASSAM","DHUBRI",21,16336,0,0,0,714,17071
"ASSAM","DIBRUGARH",0,2478,0,0,0,2518,4996
"ASSAM","GOALPARA",0,5084,0,0,0,84,5168
"ASSAM","GOLAGHAT",16,1370,0,0,0,471,1857
"ASSAM","JORHAT",2,1135,0,0,0,1149,2286
"ASSAM","KAMRUP ( RURAL )",5,7869,0,0,0,923,8797
"ASSAM","KAMRUP METRO",0,661,0,0,0,1,662
"ASSAM","KARBIANGLONG",0,36,0,0,0,1,37
"ASSAM","KARIMGANJ",0,46,0,0,0,3,49
"ASSAM","KOKRAJHAR",2,1617,0,0,0,120,1739
"ASSAM","LAKHIMPUR",0,1004,0,0,0,624,1628
"ASSAM","MORIGAON",0,5173,0,0,0,24,5197
"ASSAM","NAGOAN",7,11788,1,0,0,225,12021
"ASSAM","NALBARI",3,3615,0,0,0,772,4390
"ASSAM","SIBSAGAR",5,648,0,0,0,1898,2551
"ASSAM","SONITPUR",4,1754,0,0,0,587,2345
"ASSAM","TINSUKIA",3,2606,0,0,0,133,2742
"ASSAM","UDALGURI",0,1496,0,0,0,319,1815
"BIHAR","ARARIA",0,0,0,0,164,6477,6641
"BIHAR","AURANGABAD",0,0,0,0,165,7397,7562
"BIHAR","BANKA",0,0,0,0,6,5091,5097
"BIHAR","BEGUSARAI",0,0,0,0,29,12211,12240
"BIHAR","BHAGALPUR",0,0,0,0,4,11684,11688
"BIHAR","BHOJPUR",0,0,0,0,99,21553,21652
"BIHAR","BUXAR",0,0,0,0,15,16730,16745
"BIHAR","DARBHANGA",0,0,0,0,98,10471,10569
"BIHAR","EAST CHAMPARAN",0,0,0,0,50,26142,26192
"BIHAR","GAYA",0,0,0,0,77,32490,32567
"BIHAR","GOPAALGANJ",0,0,0,0,118,21832,21950
"BIHAR","JAMUI",0,0,0,0,12,1619,1631
"BIHAR","JEHANABAD",0,0,0,0,11,20187,20198
"BIHAR","KAIMUR (BHABUA)",0,0,0,0,190,13014,13204
"BIHAR","KATIHAR",0,0,0,0,32,24327,24359
"BIHAR","KHAGARIA",0,0,0,0,4,6310,6314
"BIHAR","KISHANGANJ",0,0,0,0,0,6819,6819
"BIHAR","LAKHISARAI",0,0,0,0,21,6107,6128
"BIHAR","MADHEPURA",0,0,0,0,29,12648,12677
"BIHAR","MADHUBANI",0,0,0,0,193,17033,17226
"BIHAR","MUNGER",0,0,0,0,30,5150,5180
"BIHAR","MUZAFFARPUR",0,0,0,0,17,34968,34985
"BIHAR","NALANDA",0,0,0,0,212,24495,24707
"BIHAR","NAWADA",0,0,0,0,309,12437,12746
"BIHAR","PATNA",0,0,0,0,154,23363,23517
"BIHAR","PURNIA",0,0,0,0,33,23177,23210
"BIHAR","ROHTAS(SASARAM)",0,0,0,0,41,8893,8934
"BIHAR","SAHARSA",0,0,0,0,8,5308,5316
"BIHAR","SAMASTIPUR",0,14,0,0,199,30837,31050
"BIHAR","SARAN",0,0,0,0,343,27360,27703
"BIHAR","SHEKHPURA",0,0,0,0,8,3674,3682
"BIHAR","SHEOHAR",0,0,0,0,133,3488,3621
"BIHAR","SITAMARHI",0,0,0,0,29,9993,10022
"BIHAR","SIWAN",0,0,0,0,417,23688,24105
"BIHAR","SUPAUL",0,0,0,0,62,9241,9303
"BIHAR","VAISHALI",0,0,0,0,47,25780,25827
"BIHAR","WEST CHAMPARAN",0,0,0,0,68,16436,16504
"CHANDIGARH","UT CHANDIGARH",63,9,0,0,0,0,72
"CHHATISGARH","BASTER",376,13,0,0,1418,0,1807
"CHHATISGARH","BIJAPUR",3,0,1,0,12,0,16
"CHHATISGARH","BILASPUR",6568,119,2,8,8041,0,14738
"CHHATISGARH","DANTEWADA",61,0,0,0,140,0,201
"CHHATISGARH","DHAMTARI",8697,4,5,0,1829,0,10535
"CHHATISGARH","DURG",12798,137,11,1,4153,0,17100
"CHHATISGARH","JANJGIR-CHAMPA",2029,4,0,0,7567,1,9601
"CHHATISGARH","JASHPUR",3,2,0,0,89,0,94
"CHHATISGARH","KANKER",1005,26,2,0,162,2,1197
"CHHATISGARH","KAWARDHA",3211,3,8,1,427,10,3660
"CHHATISGARH","KORBA",82,6,0,0,122,0,210
"CHHATISGARH","KORIA",25,3,0,0,57,0,85
"CHHATISGARH","MAHASAMUND",3100,83,21,0,1134,0,4338
"CHHATISGARH","NARAYANPUR",5,0,0,0,412,0,417
"CHHATISGARH","RAIGARH",3762,28,10,15,15084,0,18899
"CHHATISGARH","RAIPUR",7200,90,16,0,2034,3,9343
"CHHATISGARH","RAJNANDGAON",2156,39,1,0,37,5,2238
