State,GW_Electric,GW_Diesel,GW_Windmill,GW_Solar,GW_Manual,GW_Others,GW_Total
Andhra Pradesh,1922829,73328,8153,519,45212,149510,2199551
Arunachal Pradesh,12,4,0,0,0,19,35
Assam,319,91026,3,0,0,12964,104312
Bihar,0,14,0,0,9668,641560,651242
Chhattisgarh,96216,12711,226,304,221552,1281,332290
Goa,2714,134,4,1,1159,411,4423
Gujarat,688335,386793,441,188,34465,8113,1118335
Haryana,53556,414290,0,0,0,0,467846
Himachal Pradesh,4254,673,4,0,87,63,5081
Jammu & Kashmir,3047,72,2,1,22,13,3157
Jharkhand,1347,49190,92,96,87978,3844,142547
Karnataka,913109,20748,820,317,914,41794,977702
Kerala,155302,3382,103,37,9132,1833,169789
Madhya Pradesh,1424865,142995,2983,855,5982,88669,1666349
Maharashtra,1922446,58932,7970,1247,6024,57406,2054025
Manipur,0,0,0,0,0,0,0
Meghalaya,2,203,0,0,11,6,222
Mizoram,0,0,0,0,0,0,0
Nagaland,3,60,0,0,8,32,103
Orissa,39689,63036,156,159,245290,124113,472443
Punjab,1024464,149874,74,13,0,3847,1178272
Rajasthan,648222,493359,195,183,50408,307079,1499446
Sikkim,0,0,0,0,0,0,0
Tamil Nadu,1595738,150922,2384,595,7156,109507,1866302
Tripura,1714,156,0,2,47,172,2091
Uttar Pradesh,437495,3741642,3159,797,1500,68662,4253255
Uttaranchal,8029,44896,4,6,305,258,53498
West Bengal,96405,403711,0,0,4271,15052,519439
Andaman & Nicobar,154,84,0,0,519,615,1372
Chandigarh,82,9,0,0,0,0,91
Dadra & Nagar Haveli,526,116,1,0,0,2,645
Daman & Diu,0,0,0,0,0,0,0
Delhi,8950,797,2,0,2,73,9824
Lakshadweep,0,0,0,0,0,0,0
Pondicherry,4100,33,0,0,0,0,4133
TOTAL,11053924,6303190,26776,5320,731712,1636898,19757820
,11053924,6303190,26776,5320,731712,1636898,19757820
