"STATE","DISTRICT","0-2 HP","2-4 HP","4-6 HP","6-8 HP","8-10 HP","AVE 10 HP","NO LIFTING DEVICE","TOTAL"
"ANDAMAN & NICOBARS","ANDAMAN",0,0,0,0,5,1,0,6
"ANDAMAN & NICOBARS","N & M ANDA",1,2,0,0,1,0,3,7
"ANDAMAN & NICOBARS","NICOBAR",1,4,2,0,66,0,0,73
"ANDHRA PRADESH","ADILABAD",3,2084,13886,7,0,3,189,16172
"ANDHRA PRADESH","ANANTHAPUR",3,43,38442,12468,242,291,1690,53179
"ANDHRA PRADESH","CHITTOOR",13,586,9827,8068,56,209,236,18995
"ANDHRA PRADESH","CUDDAPAH",2,208,8313,2471,3486,1897,208,16585
"ANDHRA PRADESH","EAST GODAVARI",13,1956,17715,3431,1204,3197,256,27772
"ANDHRA PRADESH","GUNTUR",15,3972,19091,27,8,4,0,23117
"ANDHRA PRADESH","KARIMNAGAR",3,4715,13305,9,0,6,0,18038
"ANDHRA PRADESH","KHAMMAM",7,6182,8627,346,554,835,85,16636
"ANDHRA PRADESH","KRISHNA",38,5911,21796,857,3,151,34,28790
"ANDHRA PRADESH","KURNOOL",4,359,22293,2096,886,306,1197,27141
"ANDHRA PRADESH","MAHABOOBNAGAR",18,341,91524,188,77,825,4501,97474
"ANDHRA PRADESH","MEDAK",0,375,95811,6,47,1,1579,97819
"ANDHRA PRADESH","NALGONDA",18,7531,112917,525,119,34,1233,122377
"ANDHRA PRADESH","NELLORE",14,6862,39257,301,40,96,402,46972
"ANDHRA PRADESH","NIZAMABAD",3,1322,129767,87,0,5,177,131361
"ANDHRA PRADESH","PRAKASAM",73,2397,24326,1078,94,121,513,28602
"ANDHRA PRADESH","RANGAREDDY",502,2897,44671,647,21,10,697,49445
"ANDHRA PRADESH","SRIKAKULAM",7,2842,6528,4,2,31,98,9512
"ANDHRA PRADESH","VISAKHAPATNAM",4,1010,8853,867,6,490,97,11327
"ANDHRA PRADESH","VIZIANAGARAM",2,1613,7561,35,4,50,310,9575
"ANDHRA PRADESH","WARANGAL",56,20181,23670,4,7,12,2243,46173
"ANDHRA PRADESH","WEST GODAVARI",2,165,8945,4370,164,5968,22,19636
"ARUNACHAL PRADESH","CHANGLANG",0,0,0,0,1,2,0,3
"ARUNACHAL PRADESH","DIBANG VALLEY",0,0,0,0,3,2,0,5
"ARUNACHAL PRADESH","LOHIT",0,0,0,0,0,2,0,2
"ARUNACHAL PRADESH","TIRAP",0,0,0,0,0,1,0,1
"ASSAM","BAKSA",0,0,612,3,0,0,0,615
"ASSAM","BARPETA",0,0,12832,1,0,2,0,12835
"ASSAM","BONGAIGAON",1,2,4717,0,0,7,0,4727
"ASSAM","CACHAR",0,0,4,0,0,0,0,4
"ASSAM","CHIRANG",0,0,1013,0,0,3,1,1017
"ASSAM","DARRANG",0,0,7019,0,0,4,0,7023
"ASSAM","DHEMAJI",0,0,1474,0,0,1,0,1475
"ASSAM","DHUBRI",0,5,16681,1,1,383,0,17071
"ASSAM","DIBRUGARH",1,46,4935,1,1,7,5,4996
"ASSAM","GOALPARA",0,0,5165,0,0,3,0,5168
"ASSAM","GOLAGHAT",0,7,1830,1,0,17,2,1857
"ASSAM","JORHAT",0,2,2278,0,0,5,1,2286
"ASSAM","KAMRUP ( RURAL )",2,4,8761,17,7,6,0,8797
"ASSAM","KAMRUP METRO",0,2,659,0,0,1,0,662
"ASSAM","KARBIANGLONG",0,0,35,0,0,2,0,37
"ASSAM","KARIMGANJ",0,0,46,0,0,3,0,49
"ASSAM","KOKRAJHAR",0,0,1653,5,79,2,0,1739
"ASSAM","LAKHIMPUR",0,1,1625,0,0,2,0,1628
"ASSAM","MORIGAON",0,1,5193,0,0,3,0,5197
"ASSAM","NAGOAN",0,23,11996,0,0,2,0,12021
"ASSAM","NALBARI",0,1,4389,0,0,0,0,4390
"ASSAM","SIBSAGAR",0,0,2543,0,0,6,2,2551
"ASSAM","SONITPUR",0,0,2340,0,0,5,0,2345
"ASSAM","TINSUKIA",0,1,2734,0,0,4,3,2742
"ASSAM","UDALGURI",0,0,1813,0,0,2,0,1815
"BIHAR","ARARIA",0,3,3599,479,713,1847,0,6641
"BIHAR","AURANGABAD",4,78,6616,27,299,538,0,7562
"BIHAR","BANKA",5,338,4640,18,53,43,0,5097
"BIHAR","BEGUSARAI",0,96,5445,2294,3303,1102,0,12240
"BIHAR","BHAGALPUR",1,361,7958,53,3214,101,0,11688
"BIHAR","BHOJPUR",171,397,9683,2468,6732,2201,0,21652
