"STATE","DISTRICT","OPEN WATER CHANNEL (LINED/PUCCA) - NUMBER","OPEN WATER CHANNEL (LINED/PUCCA) - POTENTIAL UTILISED","OPEN WATER CHANNEL (UNLINED/KUTCHA) - NUMBER","OPEN WATER CHANNEL (UNLINED/KUTCHA) - POTENTIAL UTILISED","UNDERGROUND PIPE - NUMBER","UNDERGROUND PIPE - POTENTIAL UTILISED","SURFACE PIPE - NUMBER","SURFACE PIPE - POTENTIAL UTILISED","DRIP - NUMBER","DRIP - POTENTIAL UTILISED","SPRINKLE - NUMBER","SPRINKLE - POTENTIAL UTILISED","OTHER - NUMBER","OTHER - POTENTIAL UTILISED","TOTAL - NUMBER","TOTAL - POTENTIAL UTILISED"
"ANDAMAN & NICOBARS","ANDAMAN",0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1
"ANDAMAN & NICOBARS","N & M ANDA",0,0,1,0.4,0,0,0,0,0,0,0,0,0,0,1,0.4
"ANDHRA PRADESH","ADILABAD",70,101.43,163,227.68,601,1026.97,8,13.34,1,1.61,0,0,0,0,843,1371.03
"ANDHRA PRADESH","ANANTHAPUR",2885,3718.4,9106,12930.47,5085,7540.96,689,807.51,1826,3018.54,174,180.45,6,8.75,19771,28205.08
"ANDHRA PRADESH","CHITTOOR",3222,3275.91,46528,53589.6,18886,20584.72,338,489.38,336,374.78,4,5.24,126,19.92,69440,78339.55
"ANDHRA PRADESH","CUDDAPAH",1495,3080.82,21609,49140.3,6417,10312.32,6057,14098.7,870,1007.85,6,11.73,10,6.06,36464,77657.78
"ANDHRA PRADESH","EAST GODAVARI",129,299.58,3872,13622.39,1744,6166.57,310,370.76,97,258.9,8,12.07,56,111.45,6216,20841.72
"ANDHRA PRADESH","GUNTUR",84,117.27,2545,4585.22,1593,3441.36,1732,5007.3,0,0,0,0,387,332.3,6341,13483.45
"ANDHRA PRADESH","KARIMNAGAR",1019,589.38,3298,3553.31,2699,3000.87,10,2.69,2,1.45,0,0,0,0,7028,7147.7
"ANDHRA PRADESH","KHAMMAM",95,100.53,1618,3139.84,254,636.78,562,1603.63,2,4.45,0,0,1164,2375.46,3695,7860.69
"ANDHRA PRADESH","KRISHNA",1743,4555.37,3661,7182.24,2189,4591.53,651,1216.45,151,279.82,3,7.69,0,0,8398,17833.1
"ANDHRA PRADESH","KURNOOL",188,463.47,3097,9951.31,1474,2931.28,142,469.19,3,6.02,1,1.48,0,0,4905,13822.75
"ANDHRA PRADESH","MAHABOOBNAGAR",1471,1284.96,7412,7607.42,3383,4715.16,1444,1989.77,16,14.72,57,93.8,76,9.14,13859,15714.97
