"STATE","DISTRICT","SUBMERSIBLE PUMP","CENTRIFUGAL PUMP","TURBINE PUMP","MANUAL/ANIMAL","OTHER","TOTAL"
"ANDAMAN & NICOBARS","ANDAMAN",0,0,0,0,2,2
"ANDAMAN & NICOBARS","N & M ANDA",0,0,0,1,0,1
"ANDHRA PRADESH","ADILABAD",692,75,47,0,29,843
"ANDHRA PRADESH","ANANTHAPUR",17968,1546,11,1,245,19771
"ANDHRA PRADESH","CHITTOOR",59404,1729,6125,1,2181,69440
"ANDHRA PRADESH","CUDDAPAH",35518,559,32,0,355,36464
"ANDHRA PRADESH","EAST GODAVARI",5370,822,6,0,18,6216
"ANDHRA PRADESH","GUNTUR",5067,145,928,0,201,6341
"ANDHRA PRADESH","KARIMNAGAR",6097,680,246,0,5,7028
"ANDHRA PRADESH","KHAMMAM",3470,196,1,0,28,3695
"ANDHRA PRADESH","KRISHNA",8336,43,2,0,17,8398
"ANDHRA PRADESH","KURNOOL",3793,311,19,0,782,4905
"ANDHRA PRADESH","MAHABOOBNAGAR",13237,111,0,0,511,13859
"ANDHRA PRADESH","MEDAK",23791,56,0,0,277,24124
"ANDHRA PRADESH","NALGONDA",1343,69,20,0,192,1624
"ANDHRA PRADESH","NELLORE",1081,212,13,0,8,1314
"ANDHRA PRADESH","NIZAMABAD",2,0,0,0,0,2
"ANDHRA PRADESH","PRAKASAM",31683,127,2,0,60,31872
"ANDHRA PRADESH","RANGAREDDY",2031,26,11,0,144,2212
"ANDHRA PRADESH","SRIKAKULAM",98,0,0,0,1,99
"ANDHRA PRADESH","VISAKHAPATNAM",39,13,0,5,11,68
"ANDHRA PRADESH","VIZIANAGARAM",1,19,5,4,2,31
"ANDHRA PRADESH","WARANGAL",1489,1449,305,0,508,3751
"ANDHRA PRADESH","WEST GODAVARI",33482,123,11,0,266,33882
"ARUNACHAL PRADESH","CHANGLANG",0,0,0,0,2,2
"ARUNACHAL PRADESH","DIBANG VALLEY",4,1,0,0,0,5
"ARUNACHAL PRADESH","LOHIT",0,0,0,0,1,1
"ARUNACHAL PRADESH","TIRAP",0,0,0,0,3,3
"ASSAM","BAKSA",0,2,0,0,11,13
"ASSAM","BARPETA",0,5,0,0,13,18
"ASSAM","BONGAIGAON",3,8,0,0,23,34
"ASSAM","CACHAR",0,0,0,0,8,8
"ASSAM","CHIRANG",0,2,0,0,6,8
"ASSAM","DARRANG",20,2,0,0,40,62
"ASSAM","DHEMAJI",0,3,0,0,14,17
