"STATE","DISTRICT","ELECTRIC PUMPS","DIESEL PUMPS","WIND MILLS","SOLAR PUMPS","MANUAL/ANIMAL","OTHERS","TOTAL"
"ANDAMAN & NICOBARS","ANDAMAN",0,0,0,0,0,2,2
"ANDAMAN & NICOBARS","N & M ANDA",0,0,0,0,1,0,1
"ANDHRA PRADESH","ADILABAD",809,11,3,0,0,20,843
"ANDHRA PRADESH","ANANTHAPUR",19521,14,0,0,1,235,19771
"ANDHRA PRADESH","CHITTOOR",67867,304,117,10,1,1141,69440
"ANDHRA PRADESH","CUDDAPAH",36079,30,2,2,0,351,36464
"ANDHRA PRADESH","EAST GODAVARI",6191,12,1,0,0,12,6216
"ANDHRA PRADESH","GUNTUR",6155,10,3,1,0,172,6341
"ANDHRA PRADESH","KARIMNAGAR",6948,70,8,1,0,1,7028
"ANDHRA PRADESH","KHAMMAM",3672,6,0,0,0,17,3695
"ANDHRA PRADESH","KRISHNA",8375,6,0,0,0,17,8398
"ANDHRA PRADESH","KURNOOL",4708,93,0,0,0,104,4905
"ANDHRA PRADESH","MAHABOOBNAGAR",13346,1,0,1,0,511,13859
"ANDHRA PRADESH","MEDAK",23846,1,0,0,0,277,24124
"ANDHRA PRADESH","NALGONDA",1462,1,1,0,0,160,1624
"ANDHRA PRADESH","NELLORE",1308,0,0,0,0,6,1314
"ANDHRA PRADESH","NIZAMABAD",2,0,0,0,0,0,2
"ANDHRA PRADESH","PRAKASAM",31800,22,2,2,0,46,31872
"ANDHRA PRADESH","RANGAREDDY",2069,26,0,0,0,117,2212
"ANDHRA PRADESH","SRIKAKULAM",83,16,0,0,0,0,99
"ANDHRA PRADESH","VISAKHAPATNAM",55,7,0,0,5,1,68
"ANDHRA PRADESH","VIZIANAGARAM",19,6,0,0,4,2,31
"ANDHRA PRADESH","WARANGAL",3007,0,375,0,0,369,3751
"ANDHRA PRADESH","WEST GODAVARI",33823,44,2,0,0,13,33882
"ARUNACHAL PRADESH","CHANGLANG",0,0,0,0,0,2,2
"ARUNACHAL PRADESH","DIBANG VALLEY",5,0,0,0,0,0,5
"ARUNACHAL PRADESH","LOHIT",0,0,0,0,0,1,1
"ARUNACHAL PRADESH","TIRAP",0,0,0,0,0,3,3
"ASSAM","BAKSA",0,2,0,0,0,11,13
"ASSAM","BARPETA",2,3,0,0,0,13,18
"ASSAM","BONGAIGAON",7,4,0,0,0,23,34
"ASSAM","CACHAR",0,0,0,0,0,8,8
"ASSAM","CHIRANG",0,2,0,0,0,6,8
"ASSAM","DARRANG",20,2,0,0,0,40,62
"ASSAM","DHEMAJI",0,3,0,0,0,14,17
"ASSAM","DHUBRI",2,18,0,0,0,29,49
"ASSAM","DIBRUGARH",11,11,0,0,0,38,60
"ASSAM","GOALPARA",10,15,0,0,0,27,52
"ASSAM","GOLAGHAT",26,3,0,0,0,41,70
"ASSAM","HAILAKANDI",0,0,0,0,0,12,12
"ASSAM","JORHAT",34,20,0,0,0,78,132
"ASSAM","KAMRUP ( RURAL )",12,8,0,0,0,23,43
"ASSAM","KAMRUP METRO",1,1,0,0,0,0,2
"ASSAM","KARBIANGLONG",0,0,0,0,0,9,9
"ASSAM","KARIMGANJ",0,0,0,0,0,12,12
"ASSAM","KOKRAJHAR",0,8,0,0,0,11,19
"ASSAM","LAKHIMPUR",9,2,0,0,0,91,102
"ASSAM","MORIGAON",5,2,0,0,0,15,22
"ASSAM","NAGOAN",8,11,0,0,0,28,47
"ASSAM","NALBARI",22,1,0,0,0,41,64
"ASSAM","SIBSAGAR",12,3,0,0,0,18,33
"ASSAM","SONITPUR",40,7,0,0,0,69,116
"ASSAM","TINSUKIA",24,9,0,0,0,39,72
