stcode,st,diesel_dugwell,diesel_shallow_tubewell,diesel_deep_tubewell,diesel_lift_river,diesel_lift_stream,diesel_lift_drain_canal,diesel_lift_tank_pond,diesel_total
1,2,11,12,13,14,15,16,17,18
1,ANDHRA PRADESH,97708,20629,0,560,780,118,244,120039
2,ARUNACHAL PRADESH,3,0,0,9,2,4,5,23
3,ASSAM,138,77780,0,650,203,179,331,79281
4,BIHAR,65145,611225,0,1135,164,180,786,678635
5,CHHATTISGARH,15446,481,0,1392,1534,33,686,19572
6,GOA,233,0,0,81,7,2,6,329
7,GUJARAT,466759,6565,0,646,63,609,256,474898
8,HARYANA,5610,142401,0,156,39,8,9,148223
9,HIMACHAL PRADESH,357,930,0,28,58,0,3,1376
10,JAMMU & KASHMIR,178,115,0,57,37,6,6,399
11,JHARKHAND,146658,759,0,1343,613,418,7281,157072
12,KARNATAKA,28827,1484,0,1779,1920,171,848,35029
13,KERALA,9358,252,0,867,471,31,843,11822
14,MADHYA PRADESH,163656,8249,0,43746,27688,2561,4270,250170
15,MAHARASHTRA,65027,389,0,1166,1175,927,571,69255
16,MANIPUR,3,3,0,21,2,0,0,29
17,MEGHALAYA,0,69,0,0,2,0,0,71
18,MIZORAM,0,0,0,6,40,23,0,69
19,NAGALAND,155,1,0,3,4,2,15,180
20,ORISSA,29821,25411,0,5027,630,2877,3688,67454
21,PUNJAB,1604,285880,0,312,209,402,157,288564
22,RAJASTHAN,482114,82568,0,629,784,95,92,566282
23,SIKKIM,0,0,0,0,0,0,0,0
24,TAMIL NADU,269862,27164,0,1858,402,538,210,300034
25,TRIPURA,8,121,0,157,84,32,119,521
26,UTTAR PRADESH,105218,2978677,0,2015,2381,1075,698,3090064
27,UTTARANCHAL,341,42980,0,48,24,3,2,43398
28,WEST BENGAL,14523,52923,0,10195,2254,17284,48132,145311
29,ANDAMAN & NICOBARS,1,0,0,66,194,11,184,456
30,CHANDIGARH,0,24,0,0,0,0,0,24
31,DADRA & NAGAR HAVELI,247,0,0,0,0,0,0,247
32,DELHI,0,2347,0,0,0,7,0,2354
33,PONDICHERRY,4,50,0,0,0,0,0,54
