stcode,st,elec_dugwell,elec_shallow_tubewell,elec_deep_tubewell,elec_lift_river,elec_lift_stream,elec_lift_drain_canal,elec_lift_tank_pond,elec_total
1,2,3,4,5,6,7,8,9,10
1,ANDHRA PRADESH,975358,628662,87482,8845,10833,1344,922,1713446
2,ARUNACHAL PRADESH,1,0,3,0,0,1,0,5
3,ASSAM,9,516,760,287,15,10,9,1606
4,BIHAR,12261,28421,6190,316,9,49,55,47301
5,CHHATTISGARH,116376,75997,5227,12516,871,61,236,211284
6,GOA,2666,29,60,709,43,3,71,3581
7,GUJARAT,430004,43931,94182,311,7,199,34,568668
8,HARYANA,8880,220556,24339,232,0,0,32,254039
9,HIMACHAL PRADESH,1334,1678,351,219,367,16,19,3984
10,JAMMU & KASHMIR,2283,1247,20,201,99,58,17,3925
11,JHARKHAND,3703,289,28,119,11,6,31,4187
12,KARNATAKA,283509,523836,32,37588,8924,3068,2845,859802
13,KERALA,133303,4112,227,4110,1232,781,4873,148638
14,MADHYA PRADESH,1066676,265406,36398,82806,20898,3329,4075,1479588
15,MAHARASHTRA,1462929,53884,77223,49812,14076,16248,11776,1685948
16,MANIPUR,0,0,0,21,0,0,0,21
17,MEGHALAYA,1,6,8,5,0,0,4,24
18,MIZORAM,0,0,0,0,147,0,0,147
19,NAGALAND,22,1,3,1,0,4,3,34
20,ORISSA,13833,15322,4592,6882,457,1212,564,42862
21,PUNJAB,1301,777852,9990,192,43,79,16,789473
22,RAJASTHAN,424717,28539,56764,469,56,12,42,510599
23,SIKKIM,0,0,0,0,0,0,0,0
24,TAMIL NADU,1206662,122025,84010,4774,357,1056,239,1419123
25,TRIPURA,9,623,168,551,154,15,38,1558
26,UTTAR PRADESH,6668,445375,35085,123,42,30,26,487349
27,UTTARANCHAL,121,8564,883,91,9,8,2,9678
28,WEST BENGAL,753,237,5139,1873,130,317,824,9273
29,ANDAMAN & NICOBARS,6,0,0,33,121,24,317,501
30,CHANDIGARH,0,108,57,0,0,0,0,165
31,DADRA & NAGAR HAVELI,325,0,0,71,0,0,0,396
32,DELHI,0,7978,645,0,0,2,0,8625
33,PONDICHERRY,74,4314,328,7,0,0,0,4723
