stcode,st,diesel_dugwell,diesel_shallow_tubewell,diesel_deep_tubewell,diesel_lift_river,diesel_lift_stream,diesel_lift_drain_canal,diesel_lift_tank_pond,diesel_total
1,2,19,20,21,22,23,24,25,26
1,ANDHRA PRADESH,1073066,649291,87482,9405,11613,1462,1166,1833485
2,ARUNACHAL PRADESH,4,0,3,9,2,5,5,28
3,ASSAM,147,78296,760,937,218,189,340,80887
4,BIHAR,77406,639646,6190,1451,173,229,841,725936
5,CHHATTISGARH,131822,76478,5227,13908,2405,94,922,230856
6,GOA,2899,29,60,790,50,5,77,3910
7,GUJARAT,896763,50496,94182,957,70,808,290,1043566
8,HARYANA,14490,362957,24339,388,39,8,41,402262
9,HIMACHAL PRADESH,1691,2608,351,247,425,16,22,5360
10,JAMMU & KASHMIR,2461,1362,20,258,136,64,23,4324
11,JHARKHAND,150361,1048,28,1462,624,424,7312,161259
12,KARNATAKA,312336,525320,32,39367,10844,3239,3693,894831
13,KERALA,142661,4364,227,4977,1703,812,5716,160460
14,MADHYA PRADESH,1230332,273655,36398,126552,48586,5890,8345,1729758
15,MAHARASHTRA,1527956,54273,77223,50978,15251,17175,12347,1755203
16,MANIPUR,3,3,0,42,2,0,0,50
17,MEGHALAYA,1,75,8,5,2,0,4,95
18,MIZORAM,0,0,0,6,187,23,0,216
19,NAGALAND,177,2,3,4,4,6,18,214
20,ORISSA,43654,40733,4592,11909,1087,4089,4252,110316
21,PUNJAB,2905,1063732,9990,504,252,481,173,1078037
22,RAJASTHAN,906831,111107,56764,1098,840,107,134,1076881
23,SIKKIM,0,0,0,0,0,0,0,0
24,TAMIL NADU,1476524,149189,84010,6632,759,1594,449,1719157
25,TRIPURA,17,744,168,708,238,47,157,2079
26,UTTAR PRADESH,111886,3424052,35085,2138,2423,1105,724,3577413
27,UTTARANCHAL,462,51544,883,139,33,11,4,53076
28,WEST BENGAL,15276,53160,5139,12068,2384,17601,48956,154584
29,ANDAMAN & NICOBARS,7,0,0,99,315,35,501,957
30,CHANDIGARH,0,132,57,0,0,0,0,189
31,DADRA & NAGAR HAVELI,572,0,0,71,0,0,0,643
32,DELHI,0,10325,645,0,0,9,0,10979
33,PONDICHERRY,78,4364,328,7,0,0,0,4777
