stcode,st,gw_electric_pump,gw_diesel_pump,gw_windmills,gw_solar,gw_manual_animal,gw_others,gw_total,sw_electric_pump,sw_diesel_pump,sw_windmills,sw_solar,sw_manual_animal,sw_others,sw_total
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,ANDHRA PRADESH,1922829,73328,8153,519,45212,149510,2199551,21586,1804,124,3,41,988,24546
2,ARUNACHAL PRADESH,12,4,0,0,0,19,35,0,24,0,0,0,6,30
3,ASSAM,319,91026,3,0,0,12964,104312,287,2068,0,0,16,1256,3627
4,BIHAR,0,14,0,0,9668,641560,651242,0,0,0,0,393,4338,4731
5,CHHATTISGARH,96216,12711,226,304,221552,1281,332290,3036,3972,12,17,20597,188,27822
6,GOA,2714,134,4,1,1159,411,4423,754,79,1,3,35,38,910
7,GUJARAT,688335,386793,441,188,34465,8113,1118335,186,5002,2,3,162,271,5626
8,HARYANA,53556,414290,0,0,0,0,467846,0,304,0,0,0,0,304
9,HIMACHAL PRADESH,4254,673,4,0,87,63,5081,553,50,0,1,3,31,638
10,JAMMU & KASHMIR,3047,72,2,1,22,13,3157,124,2,0,0,62,2,190
11,JHARKHAND,1347,49190,92,96,87978,3844,142547,668,5690,2,2,2323,217,8902
12,KARNATAKA,913109,20748,820,317,914,41794,977702,78835,7025,169,70,129,1869,88097
13,KERALA,155302,3382,103,37,9132,1833,169789,11616,2633,11,2,355,410,15027
14,MADHYA PRADESH,1424865,142995,2983,855,5982,88669,1666349,120554,55523,314,237,2195,5066,183889
15,MAHARASHTRA,1922446,58932,7970,1247,6024,57406,2054025,140019,5455,217,98,622,1352,147763
16,MANIPUR,0,0,0,0,0,0,0,1,71,0,0,0,0,72
17,MEGHALAYA,2,203,0,0,11,6,222,2,31,0,0,0,16,49
18,MIZORAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,NAGALAND,3,60,0,0,8,32,103,10,2,0,0,0,5,17
20,ODISHA,39689,63036,156,159,245290,124113,472443,6136,22112,134,51,13702,7619,49754
21,PUNJAB,1024464,149874,74,13,0,3847,1178272,1112,1556,0,0,0,0,2668
22,RAJASTHAN,648222,493359,195,183,50408,307079,1499446,606,3788,8,3,7,548,4960
23,SIKKIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,TAMIL NADU,1595738,150922,2384,595,7156,109507,1866302,3770,942,2,11,186,2088,6999
25,TRIPURA,1714,156,0,2,47,172,2091,1409,930,0,3,0,97,2439
26,UTTAR PRADESH,437495,3741642,3159,797,1500,68662,4253255,537,15886,8,3,72,531,17037
27,UTTARAKHAND,8029,44896,4,6,305,258,53498,63,73,78,0,71,359,644
28,WEST BENGAL,96405,403711,0,0,4271,15052,519439,2006,35545,0,0,4278,6924,48753
29,ANDAMAN & NICOBARS,154,84,0,0,519,615,1372,112,478,0,1,505,476,1572
30,CHANDIGARH,82,9,0,0,0,0,91,0,0,0,0,0,0,0
31,DADRA & NAGAR HAVELI,526,116,1,0,0,2,645,378,154,2,0,1,6,541
32,DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,DELHI,8950,797,2,0,2,73,9824,68,37,0,0,0,0,105
34,LAKSHADWEEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,PUDUCHERRY,4100,33,0,0,0,0,4133,0,26,0,0,0,0,26
