"STATE","DISTRICT","0-6 HP","6-12 HP","12-18 HP","GREATER THAN 18 HP","NO LIFTING DEVICE","TOTAL"
"ANDAMAN & NICOBARS","ANDAMAN",0,2,0,0,0,2
"ANDAMAN & NICOBARS","N & M ANDA",0,0,0,0,1,1
"ANDHRA PRADESH","ADILABAD",822,21,0,0,0,843
"ANDHRA PRADESH","ANANTHAPUR",9465,10207,90,8,1,19771
"ANDHRA PRADESH","CHITTOOR",23487,45775,119,58,1,69440
"ANDHRA PRADESH","CUDDAPAH",3986,30689,1688,101,0,36464
"ANDHRA PRADESH","EAST GODAVARI",623,2647,1982,964,0,6216
"ANDHRA PRADESH","GUNTUR",2856,2917,563,5,0,6341
"ANDHRA PRADESH","KARIMNAGAR",7028,0,0,0,0,7028
"ANDHRA PRADESH","KHAMMAM",2338,1339,16,2,0,3695
"ANDHRA PRADESH","KRISHNA",5789,1927,590,92,0,8398
"ANDHRA PRADESH","KURNOOL",4578,325,0,2,0,4905
"ANDHRA PRADESH","MAHABOOBNAGAR",13810,2,3,44,0,13859
"ANDHRA PRADESH","MEDAK",24020,103,0,1,0,24124
"ANDHRA PRADESH","NALGONDA",1622,2,0,0,0,1624
"ANDHRA PRADESH","NELLORE",1305,3,0,6,0,1314
"ANDHRA PRADESH","NIZAMABAD",2,0,0,0,0,2
"ANDHRA PRADESH","PRAKASAM",8216,23587,0,69,0,31872
"ANDHRA PRADESH","RANGAREDDY",2212,0,0,0,0,2212
"ANDHRA PRADESH","SRIKAKULAM",99,0,0,0,0,99
"ANDHRA PRADESH","VISAKHAPATNAM",63,0,0,0,5,68
"ANDHRA PRADESH","VIZIANAGARAM",27,0,0,0,4,31
"ANDHRA PRADESH","WARANGAL",3751,0,0,0,0,3751
"ANDHRA PRADESH","WEST GODAVARI",4597,22582,6172,531,0,33882
"ARUNACHAL PRADESH","CHANGLANG",0,0,1,1,0,2
"ARUNACHAL PRADESH","DIBANG VALLEY",0,1,4,0,0,5
"ARUNACHAL PRADESH","LOHIT",0,1,0,0,0,1
"ARUNACHAL PRADESH","TIRAP",3,0,0,0,0,3
"ASSAM","BAKSA",2,0,0,11,0,13
"ASSAM","BARPETA",4,0,0,14,0,18
"ASSAM","BONGAIGAON",10,0,0,24,0,34
"ASSAM","CACHAR",0,2,1,5,0,8
"ASSAM","CHIRANG",5,0,0,3,0,8
"ASSAM","DARRANG",1,0,0,61,0,62
"ASSAM","DHEMAJI",3,0,0,14,0,17
"ASSAM","DHUBRI",8,0,2,39,0,49
"ASSAM","DIBRUGARH",18,0,0,42,0,60
"ASSAM","GOALPARA",11,0,0,41,0,52
"ASSAM","GOLAGHAT",9,2,5,54,0,70
"ASSAM","HAILAKANDI",3,0,6,3,0,12
"ASSAM","JORHAT",37,0,0,95,0,132
"ASSAM","KAMRUP ( RURAL )",9,14,0,20,0,43
"ASSAM","KAMRUP METRO",1,0,0,1,0,2
"ASSAM","KARBIANGLONG",0,1,7,1,0,9
"ASSAM","KARIMGANJ",0,9,2,1,0,12
"ASSAM","KOKRAJHAR",7,0,0,12,0,19
"ASSAM","LAKHIMPUR",7,0,0,95,0,102
"ASSAM","MORIGAON",4,0,0,18,0,22
"ASSAM","NAGOAN",12,0,0,35,0,47
"ASSAM","NALBARI",3,0,0,61,0,64
"ASSAM","SIBSAGAR",3,0,0,30,0,33
"ASSAM","SONITPUR",11,0,1,104,0,116
"ASSAM","TINSUKIA",12,23,1,36,0,72
"ASSAM","UDALGURI",16,11,0,9,0,36
"BIHAR","ARARIA",40,0,2,0,0,42
"BIHAR","AURANGABAD",876,145,66,10,1,1098
"BIHAR","BANKA",29,1,0,0,0,30
"BIHAR","BEGUSARAI",881,930,135,19,41,2006
"BIHAR","BHAGALPUR",18,9,0,0,0,27
"BIHAR","BHOJPUR",111,397,12,19,14,553
"BIHAR","BUXAR",503,52,2,0,0,557
"BIHAR","DARBHANGA",90,0,1,0,0,91
"BIHAR","EAST CHAMPARAN",306,0,2,1,1,310
"BIHAR","GAYA",343,18,4,2,2,369
"BIHAR","GOPAALGANJ",282,46,35,13,0,376
"BIHAR","JAMUI",552,5,15,1,3,576
"BIHAR","JEHANABAD",484,50,72,0,1,607
"BIHAR","KAIMUR (BHABUA)",144,42,111,30,24,351
"BIHAR","KATIHAR",387,30,7,0,10,434
"BIHAR","KHAGARIA",572,237,61,8,6,884
"BIHAR","KISHANGANJ",26,18,0,0,0,44
"BIHAR","LAKHISARAI",175,61,4,5,0,245
"BIHAR","MADHEPURA",12,44,5,0,7,68
"BIHAR","MADHUBANI",359,23,8,9,8,407
"BIHAR","MUNGER",792,123,11,6,9,941
"BIHAR","MUZAFFARPUR",141,3,0,3,0,147
"BIHAR","NALANDA",1006,64,35,42,12,1159
"BIHAR","NAWADA",1521,289,10,21,61,1902
"BIHAR","PATNA",2321,519,264,119,5,3228
"BIHAR","PURNIA",867,39,93,13,2,1014
"BIHAR","ROHTAS(SASARAM)",919,1131,402,7,13,2472
"BIHAR","SAHARSA",144,162,139,3,0,448
"BIHAR","SAMASTIPUR",663,17,19,8,0,707
"BIHAR","SARAN",333,79,16,11,89,528
"BIHAR","SHEKHPURA",174,39,10,15,0,238
"BIHAR","SHEOHAR",92,9,3,0,2,106
"BIHAR","SITAMARHI",136,29,63,9,0,237
"BIHAR","SIWAN",517,212,43,21,1,794
"BIHAR","SUPAUL",30,24,13,0,0,67
"BIHAR","VAISHALI",77,0,5,1,0,83
"BIHAR","WEST CHAMPARAN",93,10,4,6,0,113
"CHANDIGARH","UT CHANDIGARH",0,0,1,18,0,19
"CHHATISGARH","BASTER",4,0,0,0,0,4
"CHHATISGARH","BILASPUR",882,224,8,1,413,1528
"CHHATISGARH","DANTEWADA",3,0,0,0,0,3
"CHHATISGARH","DHAMTARI",3,0,0,0,5,8
"CHHATISGARH","DURG",191,3,0,0,6,200
"CHHATISGARH","JANJGIR-CHAMPA",1584,77,1,0,1391,3053
"CHHATISGARH","JASHPUR",0,0,0,0,1,1
"CHHATISGARH","KANKER",3,0,0,0,3,6
"CHHATISGARH","KAWARDHA",7,2,18,0,43,70
"CHHATISGARH","KORIA",3,0,0,0,1,4
"CHHATISGARH","MAHASAMUND",4,0,0,0,0,4
"CHHATISGARH","RAIGARH",168,6,14,4,482,674
"CHHATISGARH","RAIPUR",105,5,1,1,35,147
"CHHATISGARH","RAJNANDGAON",12,5,0,0,0,17
"CHHATISGARH","SURGUJA",66,1,1,0,8,76
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",7,0,2,0,0,9
