"STATE","DISTRICT","SUBMERSIBLE PUMPS","CENTRIFUGAL PUMPS","TURBINE","MANUAL/ANIMAL","OITHERS","TOTAL"
"ANDAMAN & NICOBARS","ANDAMAN",23,63,0,186,360,632
"ANDAMAN & NICOBARS","N & M ANDA",65,80,0,329,156,630
"ANDAMAN & NICOBARS","NICOBAR",0,1,0,0,20,21
"ANDHRA PRADESH","ADILABAD",13829,13075,90,33,1719,28746
"ANDHRA PRADESH","ANANTHAPUR",14393,8101,224,1,15897,38616
"ANDHRA PRADESH","CHITTOOR",22753,31795,5394,2,31157,91101
"ANDHRA PRADESH","CUDDAPAH",4703,11827,1028,29,19122,36709
"ANDHRA PRADESH","EAST GODAVARI",170,488,301,2,331,1292
"ANDHRA PRADESH","GUNTUR",3011,6440,3581,3889,1634,18555
"ANDHRA PRADESH","KARIMNAGAR",112824,90972,3710,0,2376,209882
"ANDHRA PRADESH","KHAMMAM",16422,14540,603,46,10922,42533
"ANDHRA PRADESH","KRISHNA",5391,3884,87,0,2603,11965
"ANDHRA PRADESH","KURNOOL",14364,10247,747,1,4044,29403
"ANDHRA PRADESH","MAHABOOBNAGAR",33652,6052,372,2,28315,68393
"ANDHRA PRADESH","MEDAK",7211,10003,4616,0,4817,26647
"ANDHRA PRADESH","NALGONDA",29771,27247,1880,1,3095,61994
"ANDHRA PRADESH","NELLORE",4622,17779,1329,1,7459,31190
"ANDHRA PRADESH","NIZAMABAD",1275,3241,1680,0,1024,7220
"ANDHRA PRADESH","PRAKASAM",4762,6199,180,323,5704,17168
"ANDHRA PRADESH","RANGAREDDY",15498,7105,90,0,4352,27045
"ANDHRA PRADESH","SRIKAKULAM",7963,3540,711,17315,6847,36376
"ANDHRA PRADESH","VISAKHAPATNAM",11328,4181,899,4927,4204,25539
"ANDHRA PRADESH","VIZIANAGARAM",1062,12355,739,18079,2845,35080
"ANDHRA PRADESH","WARANGAL",54411,76663,9144,0,17619,157837
"ANDHRA PRADESH","WEST GODAVARI",3369,80,0,0,174,3623
"ARUNACHAL PRADESH","CHANGLANG",0,0,0,0,1,1
"ARUNACHAL PRADESH","LOHIT",0,3,0,0,9,12
"ASSAM","BAKSA",0,2,0,0,1,3
"ASSAM","BONGAIGAON",0,18,0,0,1,19
"ASSAM","CHIRANG",0,1,0,0,2,3
"ASSAM","DHEMAJI",0,0,0,0,1,1
"ASSAM","JORHAT",1,5,0,0,11,17
"ASSAM","KAMRUP ( RURAL )",2,17,0,0,37,56
"ASSAM","KAMRUP METRO",0,39,0,0,0,39
"ASSAM","KOKRAJHAR",1,9,0,0,1,11
"ASSAM","NAGOAN",0,1,0,0,0,1
"ASSAM","NALBARI",0,0,0,0,1,1
"ASSAM","UDALGURI",0,1,0,0,1,2
"BIHAR","ARARIA",0,12,6,0,61,79
"BIHAR","AURANGABAD",66,2242,27,67,1250,3652
"BIHAR","BANKA",247,1993,15,15,624,2894
"BIHAR","BEGUSARAI",12,154,2,5,338,511
"BIHAR","BHAGALPUR",3,45,13,0,52,113
"BIHAR","BHOJPUR",23,806,10,511,120,1470
"BIHAR","BUXAR",21,1383,1,1,15,1421
"BIHAR","DARBHANGA",6,108,0,1,1,116
