"STATE","DISTRICT","ELECTRIC PUMPS","DIESEL PUMPS","WIND MILLS","SOLAR PUMPS","MANUAL / ANIMAL","OTHERS","TOTAL"
"ANDAMAN & NICOBARS","ANDAMAN",48,39,0,0,186,359,632
"ANDAMAN & NICOBARS","N & M ANDA",102,44,0,0,329,155,630
"ANDAMAN & NICOBARS","NICOBAR",0,1,0,0,0,20,21
"ANDHRA PRADESH","ADILABAD",26696,397,14,3,33,1603,28746
"ANDHRA PRADESH","ANANTHAPUR",22715,98,2,22,1,15778,38616
"ANDHRA PRADESH","CHITTOOR",65009,428,70,6,2,25586,91101
"ANDHRA PRADESH","CUDDAPAH",15818,1760,11,0,29,19091,36709
"ANDHRA PRADESH","EAST GODAVARI",333,724,0,0,2,233,1292
"ANDHRA PRADESH","GUNTUR",9647,4657,0,0,3889,362,18555
"ANDHRA PRADESH","KARIMNAGAR",208331,718,737,2,0,94,209882
"ANDHRA PRADESH","KHAMMAM",37598,3799,24,2,46,1064,42533
"ANDHRA PRADESH","KRISHNA",8157,2630,44,0,0,1134,11965
"ANDHRA PRADESH","KURNOOL",24848,1731,15,11,1,2797,29403
"ANDHRA PRADESH","MAHABOOBNAGAR",40414,1346,3,2,2,26626,68393
"ANDHRA PRADESH","MEDAK",21691,141,1,0,0,4814,26647
"ANDHRA PRADESH","NALGONDA",59724,53,29,5,1,2182,61994
"ANDHRA PRADESH","NELLORE",22765,1527,6,0,1,6891,31190
"ANDHRA PRADESH","NIZAMABAD",6190,5,2,0,0,1023,7220
"ANDHRA PRADESH","PRAKASAM",11052,2325,9,7,323,3452,17168
"ANDHRA PRADESH","RANGAREDDY",22775,60,0,0,0,4210,27045
"ANDHRA PRADESH","SRIKAKULAM",4621,13035,8,5,17315,1392,36376
"ANDHRA PRADESH","VISAKHAPATNAM",9326,10364,161,312,4927,449,25539
"ANDHRA PRADESH","VIZIANAGARAM",7482,5791,8,6,18079,3714,35080
"ANDHRA PRADESH","WARANGAL",146283,711,4146,12,0,6685,157837
"ANDHRA PRADESH","WEST GODAVARI",3438,10,1,0,0,174,3623
"ARUNACHAL PRADESH","CHANGLANG",0,0,0,0,0,1,1
"ARUNACHAL PRADESH","LOHIT",0,3,0,0,0,9,12
"ASSAM","BAKSA",0,2,0,0,0,1,3
"ASSAM","BONGAIGAON",0,19,0,0,0,0,19
"ASSAM","CHIRANG",0,2,0,0,0,1,3
"ASSAM","DHEMAJI",0,0,0,0,0,1,1
"ASSAM","JORHAT",1,7,0,0,0,9,17
"ASSAM","KAMRUP ( RURAL )",1,18,0,0,0,37,56
"ASSAM","KAMRUP METRO",0,39,0,0,0,0,39
"ASSAM","KOKRAJHAR",0,10,0,0,0,1,11
"ASSAM","NAGOAN",0,1,0,0,0,0,1
"ASSAM","NALBARI",0,0,0,0,0,1,1
"ASSAM","UDALGURI",0,1,0,0,0,1,2
"BIHAR","ARARIA",0,0,0,0,0,79,79
"BIHAR","AURANGABAD",0,0,0,0,67,3585,3652
"BIHAR","BANKA",0,0,0,0,15,2879,2894
"BIHAR","BEGUSARAI",0,0,0,0,5,506,511
"BIHAR","BHAGALPUR",0,0,0,0,0,113,113
"BIHAR","BHOJPUR",0,0,0,0,511,959,1470
"BIHAR","BUXAR",0,0,0,0,1,1420,1421
"BIHAR","DARBHANGA",0,0,0,0,1,115,116
"BIHAR","EAST CHAMPARAN",0,0,0,0,6,540,546
"BIHAR","GAYA",0,0,0,0,112,5641,5753
"BIHAR","GOPAALGANJ",0,0,0,0,1038,1350,2388
"BIHAR","JAMUI",0,0,0,0,1684,4331,6015
"BIHAR","JEHANABAD",0,0,0,0,24,170,194
"BIHAR","KAIMUR (BHABUA)",0,0,0,0,129,5969,6098
"BIHAR","KATIHAR",0,0,0,0,1,92,93
"BIHAR","KHAGARIA",0,0,0,0,1,422,423
"BIHAR","KISHANGANJ",0,0,0,0,0,24,24
"BIHAR","LAKHISARAI",0,0,0,0,47,225,272
"BIHAR","MADHEPURA",0,0,0,0,0,134,134
"BIHAR","MADHUBANI",0,0,0,0,5,247,252
"BIHAR","MUNGER",0,0,0,0,216,2063,2279
"BIHAR","MUZAFFARPUR",0,0,0,0,1,208,209
"BIHAR","NALANDA",0,0,0,0,223,9030,9253
"BIHAR","NAWADA",0,0,0,0,739,1436,2175
"BIHAR","PATNA",0,0,0,0,150,3035,3185
"BIHAR","PURNIA",0,0,0,0,2,96,98
"BIHAR","ROHTAS(SASARAM)",0,0,0,0,13,1208,1221
"BIHAR","SAHARSA",0,0,0,0,0,65,65
"BIHAR","SAMASTIPUR",0,0,0,0,0,142,142
"BIHAR","SARAN",0,0,0,0,516,758,1274
"BIHAR","SHEKHPURA",0,0,0,0,1,194,195
"BIHAR","SHEOHAR",0,0,0,0,1,260,261
"BIHAR","SITAMARHI",0,0,0,0,1,230,231
"BIHAR","SIWAN",0,0,0,0,394,1564,1958
"BIHAR","SUPAUL",0,0,0,0,1,34,35
"BIHAR","VAISHALI",0,0,0,0,24,999,1023
"BIHAR","WEST CHAMPARAN",0,0,0,0,0,60,60
"CHHATISGARH","BASTER",1022,586,3,10,2286,75,3982
"CHHATISGARH","BIJAPUR",26,48,6,1,591,14,686
"CHHATISGARH","BILASPUR",2464,167,3,1,9188,8,11831
"CHHATISGARH","DANTEWADA",18,13,0,0,170,1,202
"CHHATISGARH","DHAMTARI",2187,151,1,1,3996,4,6340
"CHHATISGARH","DURG",5358,286,8,2,4249,7,9910
"CHHATISGARH","JANJGIR-CHAMPA",2266,206,1,1,12595,18,15087
"CHHATISGARH","JASHPUR",455,683,6,12,27633,133,28922
"CHHATISGARH","KANKER",1479,144,7,1,5963,130,7724
"CHHATISGARH","KAWARDHA",871,10,1,0,1135,1,2018
"CHHATISGARH","KORBA",595,262,5,2,6977,37,7878
"CHHATISGARH","KORIA",1677,286,1,33,17322,31,19350
"CHHATISGARH","MAHASAMUND",2330,224,19,0,3230,10,5813
"CHHATISGARH","NARAYANPUR",6,4,0,0,497,0,507
"CHHATISGARH","RAIGARH",2066,242,8,107,18456,322,21201
"CHHATISGARH","RAIPUR",4749,2305,25,33,10868,252,18232
"CHHATISGARH","RAJNANDGAON",4591,401,18,8,3480,78,8576
"CHHATISGARH","SURGUJA",9380,5903,36,63,47293,139,62814
