"STATE","DISTRICT","0-2 HP","2-4 HP","4-6 HP","6-8 HP","8-10 HP","ABOVE 10 HP","NO LIFTING DEVICE","TOTAL"
"ANDAMAN & NICOBARS","ANDAMAN",38,2,45,0,358,3,186,632
"ANDAMAN & NICOBARS","N & M ANDA",100,34,40,0,127,0,329,630
"ANDAMAN & NICOBARS","NICOBAR",0,1,0,0,20,0,0,21
"ANDHRA PRADESH","ADILABAD",1280,16247,11061,22,0,103,33,28746
"ANDHRA PRADESH","ANANTHAPUR",17147,379,18587,2358,104,40,1,38616
"ANDHRA PRADESH","CHITTOOR",25742,11930,37894,14593,338,602,2,91101
"ANDHRA PRADESH","CUDDAPAH",19570,5300,8789,781,1942,298,29,36709
"ANDHRA PRADESH","EAST GODAVARI",219,12,752,208,22,77,2,1292
"ANDHRA PRADESH","GUNTUR",702,3572,9578,88,2,724,3889,18555
"ANDHRA PRADESH","KARIMNAGAR",144,198421,11198,6,1,112,0,209882
"ANDHRA PRADESH","KHAMMAM",1018,30280,10457,135,255,342,46,42533
"ANDHRA PRADESH","KRISHNA",1190,1968,8650,135,4,18,0,11965
"ANDHRA PRADESH","KURNOOL",2757,349,25954,138,52,152,1,29403
"ANDHRA PRADESH","MAHABOOBNAGAR",26724,977,40157,104,215,214,2,68393
"ANDHRA PRADESH","MEDAK",4818,4699,17115,15,0,0,0,26647
"ANDHRA PRADESH","NALGONDA",2188,7014,52597,106,65,23,1,61994
"ANDHRA PRADESH","NELLORE",6940,1132,22686,312,78,41,1,31190
"ANDHRA PRADESH","NIZAMABAD",535,2867,3814,2,0,2,0,7220
"ANDHRA PRADESH","PRAKASAM",3457,3702,8535,1004,109,38,323,17168
"ANDHRA PRADESH","RANGAREDDY",4880,9087,13049,14,10,5,0,27045
"ANDHRA PRADESH","SRIKAKULAM",646,11300,7091,1,2,21,17315,36376
"ANDHRA PRADESH","VISAKHAPATNAM",311,3459,16339,161,0,342,4927,25539
"ANDHRA PRADESH","VIZIANAGARAM",877,14169,1931,6,2,16,18079,35080
"ANDHRA PRADESH","WARANGAL",3382,136800,17614,7,1,33,0,157837
"ANDHRA PRADESH","WEST GODAVARI",164,63,1743,533,226,894,0,3623
"ARUNACHAL PRADESH","CHANGLANG",0,0,0,0,0,1,0,1
"ARUNACHAL PRADESH","LOHIT",0,0,1,0,0,11,0,12
