"STATE","DISTRICT","SUBMERSIBLE PUMPS","CENTRIFUGAL PUMPS","TURBINES","MANUAL/ANIMAL","OTHERS","TOTAL"
"ANDAMAN & NICOBARS","ANDAMAN",0,1,0,0,5,6
"ANDAMAN & NICOBARS","N & M ANDA",0,2,0,3,2,7
"ANDAMAN & NICOBARS","NICOBAR",1,0,0,0,72,73
"ANDHRA PRADESH","ADILABAD",6898,8737,61,0,476,16172
"ANDHRA PRADESH","ANANTHAPUR",48898,1410,6,2,2863,53179
"ANDHRA PRADESH","CHITTOOR",16666,972,742,0,615,18995
"ANDHRA PRADESH","CUDDAPAH",13903,2452,7,0,223,16585
"ANDHRA PRADESH","EAST GODAVARI",8787,17810,792,1,382,27772
"ANDHRA PRADESH","GUNTUR",6435,5187,11451,0,44,23117
"ANDHRA PRADESH","KARIMNAGAR",13446,4422,149,0,21,18038
"ANDHRA PRADESH","KHAMMAM",13073,3131,21,0,411,16636
"ANDHRA PRADESH","KRISHNA",20846,7717,42,1,184,28790
"ANDHRA PRADESH","KURNOOL",21708,2454,964,2,2013,27141
"ANDHRA PRADESH","MAHABOOBNAGAR",89961,2548,348,2,4615,97474
"ANDHRA PRADESH","MEDAK",94980,1254,6,1,1578,97819
"ANDHRA PRADESH","NALGONDA",102954,14903,2517,0,2003,122377
"ANDHRA PRADESH","NELLORE",21092,24877,222,0,781,46972
"ANDHRA PRADESH","NIZAMABAD",130882,42,128,0,309,131361
"ANDHRA PRADESH","PRAKASAM",22804,4473,134,239,952,28602
"ANDHRA PRADESH","RANGAREDDY",47687,902,15,0,841,49445
"ANDHRA PRADESH","SRIKAKULAM",5650,2758,308,31,765,9512
"ANDHRA PRADESH","VISAKHAPATNAM",9873,1014,93,83,264,11327
"ANDHRA PRADESH","VIZIANAGARAM",3543,5607,93,188,144,9575
"ANDHRA PRADESH","WARANGAL",25162,16147,1533,0,3331,46173
"ANDHRA PRADESH","WEST GODAVARI",13912,1791,642,0,3291,19636
"ARUNACHAL PRADESH","CHANGLANG",0,0,0,0,3,3
"ARUNACHAL PRADESH","DIBANG VALLEY",0,5,0,0,0,5
"ARUNACHAL PRADESH","LOHIT",2,0,0,0,0,2
"ARUNACHAL PRADESH","TIRAP",0,1,0,0,0,1
"ASSAM","BAKSA",0,469,0,0,146,615
"ASSAM","BARPETA",1,12538,0,0,296,12835
"ASSAM","BONGAIGAON",7,4543,3,0,174,4727
"ASSAM","CACHAR",0,4,0,0,0,4
"ASSAM","CHIRANG",0,195,0,0,822,1017
"ASSAM","DARRANG",2,6794,0,0,227,7023
"ASSAM","DHEMAJI",0,835,0,0,640,1475
"ASSAM","DHUBRI",5,16352,0,0,714,17071
"ASSAM","DIBRUGARH",4,2470,2,0,2520,4996
"ASSAM","GOALPARA",0,5083,0,0,85,5168
"ASSAM","GOLAGHAT",365,1011,1,0,480,1857
"ASSAM","JORHAT",2,764,0,0,1520,2286
"ASSAM","KAMRUP ( RURAL )",15,7834,2,0,946,8797
"ASSAM","KAMRUP METRO",0,661,0,0,1,662
"ASSAM","KARBIANGLONG",0,36,0,0,1,37
"ASSAM","KARIMGANJ",0,46,0,0,3,49
"ASSAM","KOKRAJHAR",54,1555,6,0,124,1739
"ASSAM","LAKHIMPUR",0,1004,0,0,624,1628
"ASSAM","MORIGAON",3,5170,0,0,24,5197
"ASSAM","NAGOAN",17,11778,1,0,225,12021
"ASSAM","NALBARI",0,2170,85,0,2135,4390
"ASSAM","SIBSAGAR",0,653,0,0,1898,2551
"ASSAM","SONITPUR",3,1755,0,0,587,2345
