stcode,st,sw_owc_lined_no,sw_owc_lined_area,sw_owc_unlined_no,sw_owc_unlined_area,sw_ugpipe_no,sw_ugpipe_area,sw_surfpipe_no,sw_surfpipe_area,sw_drip_no,sw_drip_area,sw_sprinkler_no,sw_sprinkler_area,sw_others_no,sw_others_area,sw_total_no,sw_total_area
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,ANDHRA PRADESH,9791,99049,78501,740851,9451,28809,3941,9703,325,603,49,52,3758,8991,105816,888056
2,ARUNACHAL PRADESH,754,20411,2960,88885,9,206,27,986,1,70,3,201,1229,436,4983,111196
3,ASSAM,408,19719,4273,115961,14,489,252,452,0,0,1,165,1494,1001,6442,137786
4,BIHAR,1168,7535,5525,95161,112,2776,2782,16251,82,785,20,17,2438,12733,12127,135258
5,CHHATTISGARH,13062,68956,65262,250609,1422,3630,2417,8894,461,768,74,225,1620,11437,84318,344520
6,GOA,719,2522,1315,3007,12,53,87,248,12,41,121,620,385,400,2651,6891
7,GUJARAT,1246,13579,6812,58544,1483,8125,4045,19003,1583,5507,41,69,18094,149329,33304,254157
8,HARYANA,121,782,373,2400,0,0,0,0,0,0,0,0,0,0,494,3182
9,HIMACHAL PRADESH,4332,64685,5983,76003,418,5965,512,4771,28,189,45,452,975,24669,12293,176735
10,JAMMU & KASHMIR,521,21020,3909,216316,6,181,26,778,3,41,2,50,421,2746,4888,241131
11,JHARKHAND,3122,7870,46180,228649,285,1293,1515,2983,136,172,88,164,1753,2840,53079,243972
12,KARNATAKA,12446,89671,16847,108996,57932,198937,10064,30726,1667,5563,3829,15599,17991,4955,120776,454445
13,KERALA,3342,69133,9809,108057,787,11203,6841,22416,114,832,628,4129,2086,14675,23607,230444
14,MADHYA PRADESH,6875,46239,47395,207693,24457,132587,147390,450557,831,3283,5943,18688,6911,5806,239802,864853
15,MAHARASHTRA,24791,257713,69255,382499,86227,285750,28726,61781,645,2388,1379,4115,8137,54687,219160,1048932
16,MANIPUR,81,1821,507,19460,0,0,0,0,0,0,0,0,0,0,588,21281
17,MEGHALAYA,110,6511,7364,81506,6,102,69,4507,170,2755,1,7,549,1276,8269,96665
18,MIZORAM,263,7983,4540,6607,1,1,467,778,1,0,0,0,99,7,5371,15376
19,NAGALAND,611,1752,17839,54811,39,98,4,7,21,34,25,35,2253,19,20792,56756
20,ODISHA,2848,68230,59596,460377,1843,31071,6604,16479,144,2084,155,304,17520,25721,88710,604266
21,PUNJAB,0,0,2834,31663,0,0,0,0,0,0,0,0,0,0,2834,31663
22,RAJASTHAN,1062,65237,2828,78786,430,7613,2506,27107,1,1,56,320,2510,3405,9393,182470
23,SIKKIM,951,14452,222,3162,0,0,4,57,0,0,0,0,308,0,1485,17671
24,TAMIL NADU,8423,220185,23524,592586,313,8511,319,4402,844,662,33,412,12512,17298,45968,844056
25,TRIPURA,135,4196,1007,5224,1185,49108,190,978,0,0,1,70,262,501,2780,60078
26,UTTAR PRADESH,1790,5353,9590,49906,460,2079,12009,32551,95,530,58,653,1457,3159,25459,94230
27,UTTARAKHAND,17732,157620,3749,110418,217,1304,1083,3677,33,49,11,77,8995,4551,31820,277696
28,WEST BENGAL,2386,57551,54905,368637,2543,82939,9601,44184,100,1013,196,14813,8891,46130,78622,615267
29,ANDAMAN & NICOBARS,72,42,374,223,3,1,517,333,0,0,0,0,920,598,1886,1198
30,CHANDIGARH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,DADRA & NAGAR HAVELI,102,248,294,272,15,172,145,1018,0,0,0,0,1,0,557,1710
32,DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,DELHI,0,0,59,271,34,194,40,195,1,6,0,0,0,0,134,665
34,LAKSHADWEEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,PUDUCHERRY,322,9124,123,1813,0,0,0,0,0,0,0,0,0,0,445,10938
